snapshot_month,document_id,entity,division,counterparty,document_type,functional_currency,transaction_currency,status,age_months,transaction_amount,transaction_fx_to_eur,functional_fx_to_eur,carrying_reporting_eur,carrying_functional_amount,unrealized_fx_gain_loss_functional,realized_fx_gain_loss_functional,monthly_fx_gain_loss_functional,cumulative_fx_gain_loss_functional,unrealized_fx_gain_loss_eur,realized_fx_gain_loss_eur,monthly_fx_gain_loss_eur,cumulative_fx_gain_loss_eur
2024-12,FX-ABSORB-2024-12-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,CNY,Open,0,1548588.4689,0.1310644332413479,0.0397834982027804,202964.87,5101735.12,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2025-01,FX-ABSORB-2024-12-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,CNY,Open,1,1548588.4689,0.1323451561672843,0.0397403868907301,204948.18,5157176.26,-55441.14,0.0,-55441.14,-55441.14,-2203.25,0.0,-2203.25,-2203.25
2025-02,FX-ABSORB-2024-12-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,CNY,Settled,2,1548588.4689,0.1320146826730069,0.0398777348649042,204436.42,5126580.55,0.0,30595.71,30595.71,-24845.43,0.0,1220.09,1220.09,-983.16
2025-05,FX-ABSORB-2025-05-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,JPY,Open,0,23452811.6872,0.0061295435241372,0.122927932621444,143755.03,1169425.26,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2025-06,FX-ABSORB-2025-05-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,JPY,Open,1,23452811.6872,0.0060051644414196,0.1209185665276679,140837.99,1164734.2,4691.06,0.0,4691.06,4691.06,567.24,0.0,567.24,567.24
2025-07,FX-ABSORB-2025-05-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,JPY,Settled,2,23452811.6872,0.0058298396540623,0.1193975924254167,136726.13,1145133.06,0.0,19601.14,19601.14,24292.2,0.0,2340.33,2340.33,2907.57
2025-06,FX-ABSORB-2025-06-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,JPY,Open,0,16243540.198,0.0060051644414196,0.1209185665276679,97545.13,806701.01,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2025-07,FX-ABSORB-2025-06-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,JPY,Settled,1,16243540.198,0.0058298396540623,0.1193975924254167,94697.23,793125.12,0.0,13575.89,13575.89,13575.89,0.0,1620.93,1620.93,1620.93
2025-08,FX-ABSORB-2025-08-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,USD,Open,0,331696.3564,0.8597396217145662,0.0407886584221781,285172.5,6991465.55,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2025-09,FX-ABSORB-2025-08-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,USD,Settled,1,331696.3564,0.8523530756385868,0.0410732055209855,282722.41,6883378.26,0.0,108087.29,108087.29,108087.29,0.0,4439.49,4439.49,4439.49
2025-12,FX-ABSORB-2025-12-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,EUR,Open,0,61520.18,1.0,0.1212259056296733,61520.18,507483.77,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2026-01,FX-ABSORB-2025-12-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,EUR,Settled,1,61520.18,1.0,0.1222397109089046,61520.18,503274.91,0.0,4208.86,4208.86,4208.86,0.0,514.49,514.49,514.49
2026-01,FX-ABSORB-2026-01-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,CZK,Open,0,15654763.8037,0.0411893119619646,0.1222397109089046,644808.95,5274954.8,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2026-02,FX-ABSORB-2026-01-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,CZK,Open,1,15654763.8037,0.0412207950666952,0.1224267428977185,645301.81,5270921.98,4032.82,0.0,4032.82,4032.82,493.73,0.0,493.73,493.73
2026-03,FX-ABSORB-2026-01-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,CZK,Settled,2,15654763.8037,0.0409204116593413,0.1254663641786686,640599.38,5105745.94,0.0,165176.04,165176.04,169208.86,0.0,20724.04,20724.04,21217.77
2026-01,FX-ABSORB-2026-01-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,USD,Open,0,582970.357,0.8519166095341638,0.0411893119619646,496642.13,12057548.58,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2026-02,FX-ABSORB-2026-01-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,USD,Settled,1,582970.357,0.8457410594598251,0.0412207950666952,493041.97,11961000.98,0.0,96547.6,96547.6,96547.6,0.0,3979.77,3979.77,3979.77
2026-03,FX-ABSORB-2026-03-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,CZK,Open,0,3819157.0823,0.0409204116593413,0.1254663641786686,156281.48,1245604.6,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2026-04,FX-ABSORB-2026-03-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,CZK,Open,1,3819157.0823,0.0410150402152469,0.1249926566814199,156642.88,1253216.66,-7612.06,0.0,-7612.06,-7612.06,-951.45,0.0,-951.45,-951.45
2026-05,FX-ABSORB-2026-03-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,CZK,Settled,2,3819157.0823,0.0411304287024583,0.126021244661425,157083.57,1246484.83,0.0,6731.83,6731.83,-880.23,0.0,848.35,848.35,-103.1
2026-06,FX-ABSORB-2026-06-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,EUR,Open,0,122935.34,1.0,0.1281318779881664,122935.34,959443.83,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2026-07,FX-ABSORB-2026-06-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,EUR,Settled,1,122935.34,1.0,0.1292481187374369,122935.34,951157.67,0.0,8286.16,8286.16,8286.16,0.0,1070.97,1070.97,1070.97
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-ANL-BI-E-1100_AR,DE01,Software,C001,Receivable,EUR,USD,Open,0,632.4007,0.94674148793339,1.0,598.72,598.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-ANL-BI-E-1100_AR,DE01,Software,C001,Receivable,EUR,USD,Settled,1,632.4007,0.9252211068168,1.0,585.11,585.11,0.0,-13.61,-13.61,-13.61,0.0,-13.61,-13.61,-13.61
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-ANL-PRD-P-1100_AR,DE01,Software,C001,Receivable,EUR,USD,Open,0,770.7173,0.94674148793339,1.0,729.67,729.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-ANL-PRD-P-1100_AR,DE01,Software,C001,Receivable,EUR,USD,Settled,1,770.7173,0.9252211068168,1.0,713.08,713.08,0.0,-16.59,-16.59,-16.59,0.0,-16.59,-16.59,-16.59
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-AUT-RPA-P-1100_AR,DE01,Software,C001,Receivable,EUR,JPY,Open,0,110237.6363,0.0063276030176914,1.0,697.54,697.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-AUT-RPA-P-1100_AR,DE01,Software,C001,Receivable,EUR,JPY,Open,1,110237.6363,0.0061787859808963,1.0,681.13,681.13,-16.41,0.0,-16.41,-16.41,-16.41,0.0,-16.41,-16.41
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-AUT-RPA-P-1100_AR,DE01,Software,C001,Receivable,EUR,JPY,Settled,2,110237.6363,0.0063608120413519,1.0,701.2,701.2,0.0,20.07,20.07,3.66,0.0,20.07,20.07,3.66
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-PLT-API-X-1100_AR,DE01,Software,C001,Receivable,EUR,CZK,Open,0,39643.7614,0.0406762613338856,1.0,1612.56,1612.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-PLT-API-X-1100_AR,DE01,Software,C001,Receivable,EUR,CZK,Settled,1,39643.7614,0.0408417105250944,1.0,1619.12,1619.12,0.0,6.56,6.56,6.56,0.0,6.56,6.56,6.56
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-SEC-IAM-P-1100_AR,DE01,Software,C001,Receivable,EUR,JPY,Open,0,122104.6892,0.0063276030176914,1.0,772.63,772.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-SEC-IAM-P-1100_AR,DE01,Software,C001,Receivable,EUR,JPY,Settled,1,122104.6892,0.0061787859808963,1.0,754.46,754.46,0.0,-18.17,-18.17,-18.17,0.0,-18.17,-18.17,-18.17
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-ANL-BI-P-1100_AR,DE01,Software,C002,Receivable,EUR,USD,Open,0,1474.7003,0.94674148793339,1.0,1396.16,1396.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-ANL-BI-P-1100_AR,DE01,Software,C002,Receivable,EUR,USD,Open,1,1474.7003,0.9252211068168,1.0,1364.42,1364.42,-31.74,0.0,-31.74,-31.74,-31.74,0.0,-31.74,-31.74
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-ANL-BI-P-1100_AR,DE01,Software,C002,Receivable,EUR,USD,Settled,2,1474.7003,0.9171743307040958,1.0,1352.56,1352.56,0.0,-11.86,-11.86,-43.6,0.0,-11.86,-11.86,-43.6
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-E-1100_AR,DE01,Software,C002,Receivable,EUR,USD,Open,0,1122.8725,0.94674148793339,1.0,1063.07,1063.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-E-1100_AR,DE01,Software,C002,Receivable,EUR,USD,Settled,1,1122.8725,0.9252211068168,1.0,1038.91,1038.91,0.0,-24.16,-24.16,-24.16,0.0,-24.16,-24.16,-24.16
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-P-1100_AR,DE01,Software,C002,Receivable,EUR,CZK,Open,0,35102.0461,0.0406762613338856,1.0,1427.82,1427.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-P-1100_AR,DE01,Software,C002,Receivable,EUR,CZK,Open,1,35102.0461,0.0408417105250944,1.0,1433.63,1433.63,5.81,0.0,5.81,5.81,5.81,0.0,5.81,5.81
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-P-1100_AR,DE01,Software,C002,Receivable,EUR,CZK,Settled,2,35102.0461,0.0408537136025665,1.0,1434.05,1434.05,0.0,0.42,0.42,6.23,0.0,0.42,0.42,6.23
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-RPA-P-1100_AR,DE01,Software,C002,Receivable,EUR,USD,Open,0,1616.9778,0.94674148793339,1.0,1530.86,1530.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-RPA-P-1100_AR,DE01,Software,C002,Receivable,EUR,USD,Open,1,1616.9778,0.9252211068168,1.0,1496.06,1496.06,-34.8,0.0,-34.8,-34.8,-34.8,0.0,-34.8,-34.8
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-RPA-P-1100_AR,DE01,Software,C002,Receivable,EUR,USD,Settled,2,1616.9778,0.9171743307040958,1.0,1483.05,1483.05,0.0,-13.01,-13.01,-47.81,0.0,-13.01,-13.01,-47.81
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-PLT-API-P-1100_AR,DE01,Software,C002,Receivable,EUR,JPY,Open,0,279979.6376,0.0063276030176914,1.0,1771.6,1771.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-PLT-API-P-1100_AR,DE01,Software,C002,Receivable,EUR,JPY,Open,1,279979.6376,0.0061787859808963,1.0,1729.93,1729.93,-41.67,0.0,-41.67,-41.67,-41.67,0.0,-41.67,-41.67
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-PLT-API-P-1100_AR,DE01,Software,C002,Receivable,EUR,JPY,Settled,2,279979.6376,0.0063608120413519,1.0,1780.9,1780.9,0.0,50.97,50.97,9.3,0.0,50.97,50.97,9.3
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-SEC-PAM-P-1100_AR,DE01,Software,C002,Receivable,EUR,CNY,Open,0,13914.597,0.1295337550245841,1.0,1802.41,1802.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-SEC-PAM-P-1100_AR,DE01,Software,C002,Receivable,EUR,CNY,Open,1,13914.597,0.1280617676831475,1.0,1781.93,1781.93,-20.48,0.0,-20.48,-20.48,-20.48,0.0,-20.48,-20.48
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-SEC-PAM-P-1100_AR,DE01,Software,C002,Receivable,EUR,CNY,Settled,2,13914.597,0.1284197677224354,1.0,1786.91,1786.91,0.0,4.98,4.98,-15.5,0.0,4.98,4.98,-15.5
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-AUT-MON-P-1100_AR,DE01,Software,C003,Receivable,EUR,CNY,Open,0,6109.9132,0.1295337550245841,1.0,791.44,791.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-AUT-MON-P-1100_AR,DE01,Software,C003,Receivable,EUR,CNY,Settled,1,6109.9132,0.1280617676831475,1.0,782.45,782.45,0.0,-8.99,-8.99,-8.99,0.0,-8.99,-8.99,-8.99
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-AUT-RPA-E-1100_AR,DE01,Software,C003,Receivable,EUR,USD,Open,0,690.7482,0.94674148793339,1.0,653.96,653.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-AUT-RPA-E-1100_AR,DE01,Software,C003,Receivable,EUR,USD,Settled,1,690.7482,0.9252211068168,1.0,639.09,639.09,0.0,-14.87,-14.87,-14.87,0.0,-14.87,-14.87,-14.87
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-P-1100_AR,DE01,Software,C003,Receivable,EUR,CZK,Open,0,32972.3027,0.0406762613338856,1.0,1341.19,1341.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-P-1100_AR,DE01,Software,C003,Receivable,EUR,CZK,Open,1,32972.3027,0.0408417105250944,1.0,1346.65,1346.65,5.46,0.0,5.46,5.46,5.46,0.0,5.46,5.46
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-P-1100_AR,DE01,Software,C003,Receivable,EUR,CZK,Settled,2,32972.3027,0.0408537136025665,1.0,1347.04,1347.04,0.0,0.39,0.39,5.85,0.0,0.39,0.39,5.85
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-X-1100_AR,DE01,Software,C003,Receivable,EUR,CNY,Open,0,10233.4716,0.1295337550245841,1.0,1325.58,1325.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-X-1100_AR,DE01,Software,C003,Receivable,EUR,CNY,Open,1,10233.4716,0.1280617676831475,1.0,1310.52,1310.52,-15.06,0.0,-15.06,-15.06,-15.06,0.0,-15.06,-15.06
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-X-1100_AR,DE01,Software,C003,Receivable,EUR,CNY,Settled,2,10233.4716,0.1284197677224354,1.0,1314.18,1314.18,0.0,3.66,3.66,-11.4,0.0,3.66,3.66,-11.4
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-WF-P-1100_AR,DE01,Software,C003,Receivable,EUR,CNY,Open,0,11101.1991,0.1295337550245841,1.0,1437.98,1437.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-WF-P-1100_AR,DE01,Software,C003,Receivable,EUR,CNY,Settled,1,11101.1991,0.1280617676831475,1.0,1421.64,1421.64,0.0,-16.34,-16.34,-16.34,0.0,-16.34,-16.34,-16.34
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-SEC-PAM-P-1100_AR,DE01,Software,C003,Receivable,EUR,USD,Open,0,874.9801,0.94674148793339,1.0,828.38,828.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-SEC-PAM-P-1100_AR,DE01,Software,C003,Receivable,EUR,USD,Settled,1,874.9801,0.9252211068168,1.0,809.55,809.55,0.0,-18.83,-18.83,-18.83,0.0,-18.83,-18.83,-18.83
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-ANL-FIN-P-1100_AR,DE01,Software,C004,Receivable,EUR,CNY,Open,0,33893.096,0.1295337550245841,1.0,4390.3,4390.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-ANL-FIN-P-1100_AR,DE01,Software,C004,Receivable,EUR,CNY,Open,1,33893.096,0.1280617676831475,1.0,4340.41,4340.41,-49.89,0.0,-49.89,-49.89,-49.89,0.0,-49.89,-49.89
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-ANL-FIN-P-1100_AR,DE01,Software,C004,Receivable,EUR,CNY,Settled,2,33893.096,0.1284197677224354,1.0,4352.54,4352.54,0.0,12.13,12.13,-37.76,0.0,12.13,12.13,-37.76
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-AUT-ORC-X-1100_AR,DE01,Software,C004,Receivable,EUR,CZK,Open,0,115836.1129,0.0406762613338856,1.0,4711.78,4711.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-AUT-ORC-X-1100_AR,DE01,Software,C004,Receivable,EUR,CZK,Settled,1,115836.1129,0.0408417105250944,1.0,4730.94,4730.94,0.0,19.16,19.16,19.16,0.0,19.16,19.16,19.16
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-IAM-E-1100_AR,DE01,Software,C004,Receivable,EUR,JPY,Open,0,496091.4886,0.0063276030176914,1.0,3139.07,3139.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-IAM-E-1100_AR,DE01,Software,C004,Receivable,EUR,JPY,Open,1,496091.4886,0.0061787859808963,1.0,3065.24,3065.24,-73.83,0.0,-73.83,-73.83,-73.83,0.0,-73.83,-73.83
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-IAM-E-1100_AR,DE01,Software,C004,Receivable,EUR,JPY,Settled,2,496091.4886,0.0063608120413519,1.0,3155.54,3155.54,0.0,90.3,90.3,16.47,0.0,90.3,90.3,16.47
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-KMS-P-1100_AR,DE01,Software,C004,Receivable,EUR,JPY,Open,0,706310.1126,0.0063276030176914,1.0,4469.25,4469.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-KMS-P-1100_AR,DE01,Software,C004,Receivable,EUR,JPY,Settled,1,706310.1126,0.0061787859808963,1.0,4364.14,4364.14,0.0,-105.11,-105.11,-105.11,0.0,-105.11,-105.11,-105.11
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-ANL-OPS-P-1100_AR,DE01,Software,C005,Receivable,EUR,JPY,Open,0,268414.4368,0.0063276030176914,1.0,1698.42,1698.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-ANL-OPS-P-1100_AR,DE01,Software,C005,Receivable,EUR,JPY,Open,1,268414.4368,0.0061787859808963,1.0,1658.48,1658.48,-39.94,0.0,-39.94,-39.94,-39.94,0.0,-39.94,-39.94
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-ANL-OPS-P-1100_AR,DE01,Software,C005,Receivable,EUR,JPY,Settled,2,268414.4368,0.0063608120413519,1.0,1707.33,1707.33,0.0,48.85,48.85,8.91,0.0,48.85,48.85,8.91
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-AUT-INT-X-1100_AR,DE01,Software,C005,Receivable,EUR,USD,Open,0,1671.8397,0.94674148793339,1.0,1582.8,1582.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-AUT-INT-X-1100_AR,DE01,Software,C005,Receivable,EUR,USD,Settled,1,1671.8397,0.9252211068168,1.0,1546.82,1546.82,0.0,-35.98,-35.98,-35.98,0.0,-35.98,-35.98,-35.98
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-AUT-ORC-E-1100_AR,DE01,Software,C005,Receivable,EUR,JPY,Open,0,168005.1667,0.0063276030176914,1.0,1063.07,1063.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-AUT-ORC-E-1100_AR,DE01,Software,C005,Receivable,EUR,JPY,Settled,1,168005.1667,0.0061787859808963,1.0,1038.07,1038.07,0.0,-25.0,-25.0,-25.0,0.0,-25.0,-25.0,-25.0
2023-10,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-SEC-PAM-E-1100_AR,DE01,Software,C005,Receivable,EUR,CZK,Open,0,32991.7243,0.0406762613338856,1.0,1341.98,1341.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-SEC-PAM-E-1100_AR,DE01,Software,C005,Receivable,EUR,CZK,Open,1,32991.7243,0.0408417105250944,1.0,1347.44,1347.44,5.46,0.0,5.46,5.46,5.46,0.0,5.46,5.46
2023-12,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-SEC-PAM-E-1100_AR,DE01,Software,C005,Receivable,EUR,CZK,Settled,2,32991.7243,0.0408537136025665,1.0,1347.83,1347.83,0.0,0.39,0.39,5.85,0.0,0.39,0.39,5.85
