month,source_factory,product_family,quality_tier,units,revenue,gross_profit,factory_units_in_sales,unit_mix_pct,gross_margin_pct
2023-09,CZ01,Network Devices,Premium,10.0,384646.06,50832.9,417.0,0.023980815347721823,0.1321549998458323
2023-09,CZ01,Network Devices,Professional,29.0,772940.7,201628.35,417.0,0.06954436450839328,0.26085875669375413
2023-09,CZ01,Sensors & Readers,Essential,61.0,904667.41,322816.33999999997,417.0,0.14628297362110312,0.35683427570359805
2023-09,CZ01,Sensors & Readers,Premium,14.0,383775.84,49152.26,417.0,0.03357314148681055,0.12807544112208835
2023-09,CZ01,Sensors & Readers,Professional,25.0,474692.39999999997,122375.15,417.0,0.05995203836930456,0.2577988398381773
2023-09,CZ01,Terminals,Essential,43.0,782653.85,278297.32,417.0,0.10311750599520383,0.3555816150396501
2023-09,CZ01,Terminals,Premium,10.0,340785.99,41185.8,417.0,0.023980815347721823,0.12085532037276533
2023-09,CZ01,Terminals,Professional,29.0,669869.2,173930.57,417.0,0.06954436450839328,0.2596485552701931
2023-10,CN01,Control Systems,Essential,39.0,748656.28,218807.13,361.0,0.10803324099722991,0.2922664724057347
2023-10,CN01,Control Systems,Premium,8.0,297094.68,36525.33,361.0,0.0221606648199446,0.12294171676180807
2023-10,CN01,Control Systems,Professional,18.0,463101.72,117387.73999999999,361.0,0.04986149584487535,0.253481546127706
2023-10,CN01,Edge Appliances,Essential,43.0,979431.8200000001,286498.62,361.0,0.11911357340720222,0.2925151237173405
2023-10,CN01,Edge Appliances,Premium,9.0,389764.95,49227.9,361.0,0.024930747922437674,0.12630150556123634
2023-10,CN01,Edge Appliances,Professional,19.0,555328.91,147543.22999999998,361.0,0.05263157894736842,0.2656862038751052
2023-10,CN01,Network Devices,Essential,44.0,930101.45,333774.3,361.0,0.12188365650969529,0.35885795038810014
2023-10,CN01,Network Devices,Premium,5.0,200664.37,24044.86,361.0,0.013850415512465374,0.11982625515431564
2023-10,CN01,Network Devices,Professional,25.0,667394.24,176634.91,361.0,0.06925207756232687,0.2646635218188278
2023-10,CN01,Sensors & Readers,Essential,42.0,600795.4,222625.18,361.0,0.11634349030470914,0.3705507399024693
2023-10,CN01,Sensors & Readers,Premium,10.0,285123.64,33433.06,361.0,0.027700831024930747,0.1172581130066942
2023-10,CN01,Sensors & Readers,Professional,29.0,553363.29,143885.59,361.0,0.08033240997229917,0.26002012168172556
2023-10,CN01,Terminals,Essential,40.0,712212.31,260301.99,361.0,0.11080332409972299,0.3654836996569183
2023-10,CN01,Terminals,Premium,4.0,137601.75,16799.16,361.0,0.0110803324099723,0.1220853659201282
2023-10,CN01,Terminals,Professional,26.0,598277.91,158291.22,361.0,0.07202216066481995,0.2645780787727897
2023-10,CZ01,Control Systems,Essential,44.0,861173.19,255139.65,433.0,0.10161662817551963,0.2962698478804246
2023-10,CZ01,Control Systems,Premium,14.0,502988.22,68208.99,433.0,0.03233256351039261,0.13560752973499063
2023-10,CZ01,Control Systems,Professional,32.0,788253.28,211153.93,433.0,0.07390300230946882,0.26787573912791074
2023-10,CZ01,Edge Appliances,Essential,41.0,945303.04,296117.45,433.0,0.09468822170900693,0.31325134636190316
2023-10,CZ01,Edge Appliances,Premium,9.0,392615.9,48280.47,433.0,0.020785219399538105,0.12297125511218471
2023-10,CZ01,Edge Appliances,Professional,26.0,771076.14,200973.72,433.0,0.06004618937644342,0.2606405639785456
2023-10,CZ01,Network Devices,Essential,39.0,816135.71,295040.17,433.0,0.09006928406466513,0.36150871280953994
2023-10,CZ01,Network Devices,Premium,12.0,460304.04,63635.61,433.0,0.02771362586605081,0.13824690741363035
2023-10,CZ01,Network Devices,Professional,28.0,749095.53,197670.08,433.0,0.06466512702078522,0.2638783333815915
2023-10,CZ01,Sensors & Readers,Essential,62.0,921615.24,331491.67,433.0,0.14318706697459585,0.3596855342800104
2023-10,CZ01,Sensors & Readers,Premium,10.0,277792.63,35387.22,433.0,0.023094688221709007,0.12738718086221365
2023-10,CZ01,Sensors & Readers,Professional,29.0,550886.62,144374.12,433.0,0.06697459584295612,0.26207592408034885
2023-10,CZ01,Terminals,Essential,43.0,783720.21,281143.77,433.0,0.09930715935334873,0.3587297691353398
2023-10,CZ01,Terminals,Premium,14.0,477126.06,60285.89,433.0,0.03233256351039261,0.12635212170133822
2023-10,CZ01,Terminals,Professional,30.0,694279.12,182721.41,433.0,0.06928406466512702,0.2631814852792923
2023-11,CN01,Control Systems,Essential,42.0,810952.95,249186.61000000002,369.0,0.11382113821138211,0.30727628526414513
2023-11,CN01,Control Systems,Premium,8.0,297707.24,40660.14,369.0,0.02168021680216802,0.1365775988518116
2023-11,CN01,Control Systems,Professional,18.0,464056.54,122888.26,369.0,0.04878048780487805,0.26481311953926995
2023-11,CN01,Edge Appliances,Essential,47.0,1075445.1,326878.6,369.0,0.12737127371273713,0.30394726797304666
2023-11,CN01,Edge Appliances,Premium,12.0,509330.82,75604.2,369.0,0.032520325203252036,0.1484382979219675
2023-11,CN01,Edge Appliances,Professional,22.0,640579.24,178647.48,369.0,0.05962059620596206,0.2788842797965167
2023-11,CN01,Network Devices,Essential,41.0,870903.12,320065.09,369.0,0.1111111111111111,0.36750940793506404
2023-11,CN01,Network Devices,Premium,6.0,244936.16999999998,31193.21,369.0,0.016260162601626018,0.12735240368950002
2023-11,CN01,Network Devices,Professional,25.0,672286.1,184190.95,369.0,0.06775067750677506,0.27397703150489056
2023-11,CN01,Sensors & Readers,Essential,45.0,645174.85,244997.96,369.0,0.12195121951219512,0.3797388568385764
2023-11,CN01,Sensors & Readers,Premium,10.0,283874.98,37997.22,369.0,0.02710027100271003,0.13385195130617009
2023-11,CN01,Sensors & Readers,Professional,29.0,554504.22,150401.12,369.0,0.07859078590785908,0.27123530277190677
2023-11,CN01,Terminals,Essential,40.0,713680.76,267481.76,369.0,0.10840108401084012,0.3747918887430845
2023-11,CN01,Terminals,Premium,5.0,175723.79,22465.36,369.0,0.013550135501355014,0.12784472722788418
2023-11,CN01,Terminals,Professional,19.0,449362.72,120280.23,369.0,0.051490514905149054,0.2676684661335502
2023-11,CZ01,Control Systems,Essential,43.0,845251.98,266149.58,455.0,0.0945054945054945,0.314876020757739
2023-11,CZ01,Control Systems,Premium,16.0,580875.29,84709.05,455.0,0.035164835164835165,0.1458300111199428
2023-11,CZ01,Control Systems,Professional,32.0,784966.59,220587.08000000002,455.0,0.07032967032967033,0.2810146098065142
2023-11,CZ01,Edge Appliances,Essential,41.0,951768.9299999999,316807.05,455.0,0.09010989010989011,0.3328613069981177
2023-11,CZ01,Edge Appliances,Premium,9.0,393425.41,53744.5,455.0,0.01978021978021978,0.1366065806476506
2023-11,CZ01,Edge Appliances,Professional,26.0,770735.67,210224.99,455.0,0.05714285714285714,0.2727588694577999
2023-11,CZ01,Network Devices,Essential,45.0,942792.8099999999,349904.06,455.0,0.0989010989010989,0.37113568992958273
2023-11,CZ01,Network Devices,Premium,14.0,538562.23,81451.15,455.0,0.03076923076923077,0.1512381401124249
2023-11,CZ01,Network Devices,Professional,29.0,776757.91,213738.37,455.0,0.06373626373626373,0.27516729118342675
2023-11,CZ01,Sensors & Readers,Essential,62.0,922547.6,340737.34,455.0,0.13626373626373625,0.3693439124441926
2023-11,CZ01,Sensors & Readers,Premium,11.0,303814.43,43728.0,455.0,0.024175824175824177,0.14392996409025074
2023-11,CZ01,Sensors & Readers,Professional,32.0,604849.24,166572.06,455.0,0.07032967032967033,0.2753943445477422
2023-11,CZ01,Terminals,Essential,44.0,805277.91,295998.74,455.0,0.0967032967032967,0.36757340083996587
2023-11,CZ01,Terminals,Premium,14.0,478109.82,66900.57,455.0,0.03076923076923077,0.1399272033358361
2023-11,CZ01,Terminals,Professional,37.0,844342.61,235886.69,455.0,0.08131868131868132,0.27937319188474924
2023-12,CN01,Control Systems,Essential,43.0,829136.13,255201.23,381.0,0.11286089238845144,0.30779171328597155
2023-12,CN01,Control Systems,Premium,8.0,298803.0,43873.34,381.0,0.02099737532808399,0.14683031964203838
2023-12,CN01,Control Systems,Professional,18.0,465764.56,127308.94,381.0,0.047244094488188976,0.27333324802556896
2023-12,CN01,Edge Appliances,Essential,38.0,892450.78,309308.43,381.0,0.09973753280839895,0.3465831807553577
2023-12,CN01,Edge Appliances,Premium,11.0,471472.33,73638.89,381.0,0.028871391076115485,0.15618920838896314
2023-12,CN01,Edge Appliances,Professional,21.0,612215.45,176293.53,381.0,0.05511811023622047,0.2879599493936326
2023-12,CN01,Network Devices,Essential,54.0,1149553.11,431232.36,381.0,0.14173228346456693,0.3751304365572113
2023-12,CN01,Network Devices,Premium,6.0,245837.7,33859.46,381.0,0.015748031496062992,0.13773095013498743
2023-12,CN01,Network Devices,Professional,27.0,721895.47,206107.33,381.0,0.07086614173228346,0.2855085515358616
2023-12,CN01,Sensors & Readers,Essential,48.0,703478.13,268282.88,381.0,0.12598425196850394,0.38136634041487544
2023-12,CN01,Sensors & Readers,Premium,11.0,315992.39,44482.18,381.0,0.028871391076115485,0.14076978246216626
2023-12,CN01,Sensors & Readers,Professional,30.0,573803.7200000001,161068.73,381.0,0.07874015748031496,0.28070353046857205
2023-12,CN01,Terminals,Essential,40.0,713932.85,273179.52,381.0,0.10498687664041995,0.3826403561623478
2023-12,CN01,Terminals,Premium,6.0,214348.15999999997,28549.18,381.0,0.015748031496062992,0.13319069312281479
2023-12,CN01,Terminals,Professional,20.0,475154.98000000004,131121.53,381.0,0.05249343832020997,0.2759552893668503
2023-12,CZ01,Control Systems,Essential,44.0,871252.14,277286.02,488.0,0.09016393442622951,0.318261508086511
2023-12,CZ01,Control Systems,Premium,17.0,619147.61,96735.79,488.0,0.03483606557377049,0.15624027039367883
2023-12,CZ01,Control Systems,Professional,33.0,815557.54,234902.87,488.0,0.06762295081967214,0.2880273413939622
2023-12,CZ01,Edge Appliances,Essential,52.0,1184105.53,359733.86,488.0,0.10655737704918032,0.30380219573841527
2023-12,CZ01,Edge Appliances,Premium,12.0,528409.52,77002.09999999999,488.0,0.02459016393442623,0.14572428596668732
2023-12,CZ01,Edge Appliances,Professional,28.0,833077.98,234150.05,488.0,0.05737704918032787,0.2810661854248026
2023-12,CZ01,Network Devices,Essential,42.0,886298.17,334269.85,488.0,0.0860655737704918,0.3771528152878844
2023-12,CZ01,Network Devices,Premium,15.0,584563.96,92020.61,488.0,0.030737704918032786,0.15741752194233802
2023-12,CZ01,Network Devices,Professional,30.0,807595.34,228676.69,488.0,0.06147540983606557,0.2831575154953222
2023-12,CZ01,Sensors & Readers,Essential,64.0,942180.41,358509.45,488.0,0.13114754098360656,0.38051040564513544
2023-12,CZ01,Sensors & Readers,Premium,15.0,410790.06,65216.2,488.0,0.030737704918032786,0.15875797968431854
2023-12,CZ01,Sensors & Readers,Professional,37.0,708314.02,198910.45,488.0,0.07581967213114754,0.2808224098119645
2023-12,CZ01,Terminals,Essential,46.0,841148.23,316138.15,488.0,0.0942622950819672,0.37584118794377064
2023-12,CZ01,Terminals,Premium,15.0,511088.42,77860.94,488.0,0.030737704918032786,0.15234338512306736
2023-12,CZ01,Terminals,Professional,38.0,868544.15,250432.64,488.0,0.0778688524590164,0.28833610818747674
2024-01,CN01,Control Systems,Essential,32.0,618663.4299999999,190536.57,281.0,0.11387900355871886,0.3079809808703256
2024-01,CN01,Control Systems,Premium,6.0,227111.53,32208.35,281.0,0.021352313167259787,0.14181732649152598
2024-01,CN01,Control Systems,Professional,17.0,421056.29,120759.25,281.0,0.060498220640569395,0.2868007268101849
2024-01,CN01,Edge Appliances,Essential,27.0,635007.8,217581.08,281.0,0.09608540925266904,0.34264316123361
2024-01,CN01,Edge Appliances,Premium,6.0,250504.69,41903.12,281.0,0.021352313167259787,0.16727479234021528
2024-01,CN01,Edge Appliances,Professional,14.0,411773.32,117309.5,281.0,0.0498220640569395,0.2848885401317404
2024-01,CN01,Network Devices,Essential,37.0,781921.6000000001,294751.55,281.0,0.13167259786476868,0.37695793286692675
2024-01,CN01,Network Devices,Premium,5.0,202332.39,28875.809999999998,281.0,0.017793594306049824,0.14271471809333144
2024-01,CN01,Network Devices,Professional,15.0,395981.99,114653.15,281.0,0.05338078291814947,0.2895413248466174
2024-01,CN01,Sensors & Readers,Essential,41.0,602032.95,229272.2,281.0,0.14590747330960854,0.3808299861328189
2024-01,CN01,Sensors & Readers,Premium,6.0,168430.66,25221.47,281.0,0.021352313167259787,0.14974393616934115
2024-01,CN01,Sensors & Readers,Professional,24.0,456466.64,129032.79,281.0,0.08540925266903915,0.2826773715599457
2024-01,CN01,Terminals,Essential,35.0,626134.07,239263.2,281.0,0.12455516014234876,0.3821277446218508
2024-01,CN01,Terminals,Premium,4.0,138745.56,20105.17,281.0,0.014234875444839857,0.1449067631425467
2024-01,CN01,Terminals,Professional,12.0,287345.46,78427.09,281.0,0.042704626334519574,0.2729365899847521
2024-01,CZ01,Control Systems,Essential,36.0,713023.38,225939.44,347.0,0.1037463976945245,0.316875219435301
2024-01,CZ01,Control Systems,Premium,7.0,253584.63,40135.31,347.0,0.020172910662824207,0.15827185582974804
2024-01,CZ01,Control Systems,Professional,21.0,530497.99,149271.71,347.0,0.06051873198847262,0.2813803498105619
2024-01,CZ01,Edge Appliances,Essential,39.0,891478.19,276057.66,347.0,0.11239193083573487,0.3096628308988692
2024-01,CZ01,Edge Appliances,Premium,5.0,210670.34,34229.770000000004,347.0,0.01440922190201729,0.16248025232218263
2024-01,CZ01,Edge Appliances,Professional,21.0,629313.94,175505.4,347.0,0.06051873198847262,0.27888369992249024
2024-01,CZ01,Network Devices,Essential,32.0,682185.73,255356.88,347.0,0.09221902017291066,0.3743216381849559
2024-01,CZ01,Network Devices,Premium,8.0,311165.52,49305.96,347.0,0.023054755043227664,0.15845573121340692
2024-01,CZ01,Network Devices,Professional,24.0,646661.07,182944.43,347.0,0.069164265129683,0.28290620618309376
2024-01,CZ01,Sensors & Readers,Essential,47.0,697618.04,263960.48,347.0,0.13544668587896252,0.37837393081176623
2024-01,CZ01,Sensors & Readers,Premium,8.0,227038.2,32899.34,347.0,0.023054755043227664,0.14490662804761487
2024-01,CZ01,Sensors & Readers,Professional,25.0,483758.3,134059.49,347.0,0.07204610951008646,0.2771208059892719
2024-01,CZ01,Terminals,Essential,36.0,661675.0399999999,247724.92,347.0,0.1037463976945245,0.3743906072080338
2024-01,CZ01,Terminals,Premium,7.0,243934.06,34849.79,347.0,0.020172910662824207,0.1428656170442127
2024-01,CZ01,Terminals,Professional,31.0,708988.93,204340.97,347.0,0.0893371757925072,0.2882146128854226
2024-02,CN01,Control Systems,Essential,32.0,619889.28,190684.78,299.0,0.10702341137123746,0.3076110301504165
2024-02,CN01,Control Systems,Premium,6.0,227561.55,32163.83,299.0,0.020066889632107024,0.1413412327346162
2024-02,CN01,Control Systems,Professional,20.0,500420.31,141912.01,299.0,0.06688963210702341,0.28358563224582156
2024-02,CN01,Edge Appliances,Essential,29.0,685926.81,235636.29,299.0,0.09698996655518395,0.3435297856341262
2024-02,CN01,Edge Appliances,Premium,6.0,265402.74,38479.96,299.0,0.020066889632107024,0.14498704873958723
2024-02,CN01,Edge Appliances,Professional,14.0,414535.38,117386.55,299.0,0.046822742474916385,0.28317619113717146
2024-02,CN01,Network Devices,Essential,41.0,871159.74,327239.53,299.0,0.13712374581939799,0.3756366541915723
2024-02,CN01,Network Devices,Premium,4.0,161137.38,23273.5,299.0,0.013377926421404682,0.14443265740078434
2024-02,CN01,Network Devices,Professional,17.0,456522.18,129672.66,299.0,0.056856187290969896,0.2840445999797863
2024-02,CN01,Sensors & Readers,Essential,43.0,633198.96,240760.07,299.0,0.14381270903010032,0.380228151353881
2024-02,CN01,Sensors & Readers,Premium,8.0,229339.72,32496.420000000002,299.0,0.026755852842809364,0.14169555975737652
2024-02,CN01,Sensors & Readers,Professional,26.0,499551.51999999996,139660.25,299.0,0.08695652173913043,0.2795712642411738
2024-02,CN01,Terminals,Essential,35.0,627374.7,239451.11000000002,299.0,0.11705685618729098,0.3816716070954089
2024-02,CN01,Terminals,Premium,4.0,139020.49,20079.1,299.0,0.013377926421404682,0.14443266600484575
2024-02,CN01,Terminals,Professional,14.0,337939.5,91487.39,299.0,0.046822742474916385,0.2707212089737956
2024-02,CZ01,Control Systems,Essential,35.0,696593.65,223081.35,377.0,0.09283819628647215,0.3202460286567355
2024-02,CZ01,Control Systems,Premium,9.0,326683.48,51534.88,377.0,0.023872679045092837,0.15775171735038454
2024-02,CZ01,Control Systems,Professional,24.0,610078.85,170575.25,377.0,0.0636604774535809,0.2795954162318527
2024-02,CZ01,Edge Appliances,Essential,43.0,986494.1,306416.46,377.0,0.11405835543766578,0.3106115485130626
2024-02,CZ01,Edge Appliances,Premium,6.0,256761.72,40308.47,377.0,0.015915119363395226,0.15698784850015804
2024-02,CZ01,Edge Appliances,Professional,22.0,659475.48,184049.23,377.0,0.058355437665782495,0.2790842655742106
2024-02,CZ01,Network Devices,Essential,31.0,660232.86,247463.23,377.0,0.08222811671087533,0.37481204737370993
2024-02,CZ01,Network Devices,Premium,9.0,353378.01,54821.75,377.0,0.023872679045092837,0.15513628026826004
2024-02,CZ01,Network Devices,Professional,27.0,723396.5,206113.4,377.0,0.07161803713527852,0.28492451926433154
2024-02,CZ01,Sensors & Readers,Essential,54.0,802442.33,303468.13,377.0,0.14323607427055704,0.3781806101878998
2024-02,CZ01,Sensors & Readers,Premium,8.0,227488.06,32856.72,377.0,0.021220159151193633,0.14443272319435138
2024-02,CZ01,Sensors & Readers,Professional,26.0,507058.2,139464.97,377.0,0.06896551724137931,0.2750472628191399
2024-02,CZ01,Terminals,Essential,41.0,752781.48,282242.31,377.0,0.10875331564986737,0.3749325899994245
2024-02,CZ01,Terminals,Premium,10.0,345288.11,50753.71,377.0,0.026525198938992044,0.1469894517943291
2024-02,CZ01,Terminals,Professional,32.0,731583.26,211231.33,377.0,0.08488063660477453,0.28873177059846883
2024-03,CN01,Control Systems,Essential,36.0,698853.0,211214.34,318.0,0.11320754716981132,0.30222999686629376
2024-03,CN01,Control Systems,Premium,7.0,261849.53999999998,37985.45,318.0,0.0220125786163522,0.145065941303544
2024-03,CN01,Control Systems,Professional,21.0,525815.63,148570.22,318.0,0.0660377358490566,0.28255192794478173
2024-03,CN01,Edge Appliances,Essential,29.0,684021.89,234798.91,318.0,0.09119496855345911,0.3432622748374325
2024-03,CN01,Edge Appliances,Premium,7.0,297166.39,47503.76,318.0,0.0220125786163522,0.1598557629616189
2024-03,CN01,Edge Appliances,Professional,17.0,496261.3,142169.50999999998,318.0,0.05345911949685535,0.2864811541822826
2024-03,CN01,Network Devices,Essential,39.0,832840.01,311046.36,318.0,0.12264150943396226,0.3734767257399173
2024-03,CN01,Network Devices,Premium,6.0,247361.44,33198.9,318.0,0.018867924528301886,0.13421210678592427
2024-03,CN01,Network Devices,Professional,18.0,478328.83,137061.48,318.0,0.05660377358490566,0.28654237713415687
2024-03,CN01,Sensors & Readers,Essential,45.0,664270.5,251538.7,318.0,0.14150943396226415,0.37866908134562655
2024-03,CN01,Sensors & Readers,Premium,9.0,257275.31,36446.81,318.0,0.02830188679245283,0.1416646237837591
2024-03,CN01,Sensors & Readers,Professional,27.0,517744.51999999996,144514.66,318.0,0.08490566037735849,0.279123495116858
2024-03,CN01,Terminals,Essential,37.0,665108.34,252812.3,318.0,0.11635220125786164,0.38010694618563945
2024-03,CN01,Terminals,Premium,3.0,112372.10999999999,12854.34,318.0,0.009433962264150943,0.11439083950635083
2024-03,CN01,Terminals,Professional,17.0,406767.96,110862.45,318.0,0.05345911949685535,0.2725446959981804
2024-03,CZ01,Control Systems,Essential,39.0,771815.24,243211.13999999998,398.0,0.09798994974874371,0.3151157523139864
2024-03,CZ01,Control Systems,Premium,9.0,322330.14,52097.07,398.0,0.022613065326633167,0.1616264305906981
2024-03,CZ01,Control Systems,Professional,25.0,637309.33,176964.13,398.0,0.06281407035175879,0.2776738416806169
2024-03,CZ01,Edge Appliances,Essential,46.0,1058941.46,326822.79000000004,398.0,0.11557788944723618,0.3086315932893968
2024-03,CZ01,Edge Appliances,Premium,7.0,305821.74,45056.83,398.0,0.017587939698492462,0.14733036964605592
2024-03,CZ01,Edge Appliances,Professional,25.0,747455.3,208305.56,398.0,0.06281407035175879,0.2786863107399198
2024-03,CZ01,Network Devices,Essential,35.0,742236.51,278318.53,398.0,0.08793969849246232,0.3749728371621062
2024-03,CZ01,Network Devices,Premium,10.0,390373.12,60908.76,398.0,0.02512562814070352,0.1560270338285587
2024-03,CZ01,Network Devices,Professional,27.0,729920.64,205103.13,398.0,0.0678391959798995,0.2809937392645864
2024-03,CZ01,Sensors & Readers,Essential,50.0,743726.01,280433.64,398.0,0.12562814070351758,0.3770657960449709
2024-03,CZ01,Sensors & Readers,Premium,10.0,279266.91,41882.409999999996,398.0,0.02512562814070352,0.1499726910001618
2024-03,CZ01,Sensors & Readers,Professional,28.0,543882.37,149708.51,398.0,0.07035175879396985,0.2752589866077108
2024-03,CZ01,Terminals,Essential,40.0,736278.52,274887.16000000003,398.0,0.10050251256281408,0.3733467058091006
2024-03,CZ01,Terminals,Premium,13.0,444630.89,66530.02,398.0,0.032663316582914576,0.1496297749353402
2024-03,CZ01,Terminals,Professional,34.0,784434.19,223278.93,398.0,0.08542713567839195,0.28463691772537353
2024-04,CN01,Control Systems,Essential,37.0,719785.62,215651.48,332.0,0.11144578313253012,0.29960515187841624
2024-04,CN01,Control Systems,Premium,8.0,301396.52,41349.409999999996,332.0,0.024096385542168676,0.13719272538382327
2024-04,CN01,Control Systems,Professional,22.0,551739.4,153320.44,332.0,0.06626506024096386,0.27788561048929983
2024-04,CN01,Edge Appliances,Essential,32.0,758221.0700000001,253458.93,332.0,0.0963855421686747,0.3342810428626047
2024-04,CN01,Edge Appliances,Premium,7.0,297899.29,45826.06,332.0,0.02108433734939759,0.15383071238605503
2024-04,CN01,Edge Appliances,Professional,18.0,526519.14,148326.74,332.0,0.05421686746987952,0.2817119620760605
2024-04,CN01,Network Devices,Essential,42.0,896767.28,331756.62,332.0,0.12650602409638553,0.3699472844281294
2024-04,CN01,Network Devices,Premium,6.0,247971.5,31734.16,332.0,0.018072289156626505,0.12797502938845795
2024-04,CN01,Network Devices,Professional,22.0,592393.84,164768.42,332.0,0.06626506024096386,0.27813999551379537
2024-04,CN01,Sensors & Readers,Essential,43.0,627972.8,237508.06,332.0,0.12951807228915663,0.37821392901093803
2024-04,CN01,Sensors & Readers,Premium,9.0,257909.84,34943.979999999996,332.0,0.02710843373493976,0.13548913062021983
2024-04,CN01,Sensors & Readers,Professional,27.0,519021.38,142250.77,332.0,0.08132530120481928,0.27407497163218975
2024-04,CN01,Terminals,Essential,39.0,702336.01,264134.9,332.0,0.11746987951807229,0.3760805315962655
2024-04,CN01,Terminals,Premium,2.0,74342.01999999999,8344.52,332.0,0.006024096385542169,0.11224499953054816
2024-04,CN01,Terminals,Professional,18.0,432119.0,115490.24,332.0,0.05421686746987952,0.26726489693811195
2024-04,CZ01,Control Systems,Essential,40.0,796806.53,247792.15,407.0,0.09828009828009827,0.31098157541454885
2024-04,CZ01,Control Systems,Premium,9.0,325578.32,49777.22,407.0,0.022113022113022112,0.15288861985650642
2024-04,CZ01,Control Systems,Professional,25.0,638881.04,174167.46,407.0,0.06142506142506143,0.2726132865047928
2024-04,CZ01,Edge Appliances,Essential,47.0,1079626.62,320656.43,407.0,0.11547911547911548,0.2970067836971267
2024-04,CZ01,Edge Appliances,Premium,5.0,209066.63,33564.2,407.0,0.012285012285012284,0.16054307662585846
2024-04,CZ01,Edge Appliances,Professional,25.0,751252.9299999999,204935.82,407.0,0.06142506142506143,0.27279204089094206
2024-04,CZ01,Network Devices,Essential,35.0,748231.55,276259.08999999997,407.0,0.085995085995086,0.36921604014158443
2024-04,CZ01,Network Devices,Premium,10.0,393969.86,58145.26,407.0,0.02457002457002457,0.1475880921449169
2024-04,CZ01,Network Devices,Professional,27.0,726381.62,202193.43,407.0,0.06633906633906633,0.27835702946338314
2024-04,CZ01,Sensors & Readers,Essential,58.0,871826.72,323053.11,407.0,0.14250614250614252,0.3705473835442896
2024-04,CZ01,Sensors & Readers,Premium,8.0,226567.55,31722.14,407.0,0.019656019656019656,0.14001184194294372
2024-04,CZ01,Sensors & Readers,Professional,30.0,581296.79,157973.51,407.0,0.07371007371007371,0.271760506367152
2024-04,CZ01,Terminals,Essential,41.0,755888.01,279194.75,407.0,0.10073710073710074,0.3693599399731185
2024-04,CZ01,Terminals,Premium,12.0,411965.14999999997,58860.65,407.0,0.029484029484029485,0.14287774099338257
2024-04,CZ01,Terminals,Professional,35.0,812252.1,226188.78,407.0,0.085995085995086,0.2784711544605425
2024-05,CN01,Control Systems,Essential,40.0,781636.4,245165.98,336.0,0.11904761904761904,0.31365732199779844
2024-05,CN01,Control Systems,Premium,12.0,434096.55000000005,71393.38,336.0,0.03571428571428571,0.16446428795621618
2024-05,CN01,Control Systems,Professional,21.0,535751.47,151300.81,336.0,0.0625,0.2824085764990995
2024-05,CN01,Edge Appliances,Essential,32.0,762604.73,265584.75,336.0,0.09523809523809523,0.3482600350511857
