month,entity,transaction_currency,open_documents,gross_receivable_eur,gross_payable_eur,net_exposure_eur,unrealized_fx_gain_loss_eur,realized_fx_gain_loss_eur,total_fx_gain_loss_eur
2023-12,CN01,JPY,1,0.0,1270303.59,-1270303.59,0.0,0.0,0.0
2023-12,CZ01,CNY,0,0.0,0.0,0.0,0.0,-6831.82,-6831.82
2023-12,CZ01,JPY,0,0.0,0.0,0.0,0.0,-80169.09,-80169.09
2023-12,CZ01,USD,0,0.0,0.0,0.0,0.0,13787.74,13787.74
2023-12,DE01,CNY,110,488248.47,1817817.27,-1329568.8,-2052.73,-1921.9,-3974.63
2023-12,DE01,CZK,90,386015.35,6316888.0,-5930872.65,-836.48,-835.72,-1672.2
2023-12,DE01,JPY,84,439311.73,45824.39,393487.34,4010.71,11854.84,15865.55
2023-12,DE01,USD,80,334222.67,48441.1,285781.57,-1393.81,-1996.42,-3390.23
2023-12,ES01,CNY,90,594693.6,2203243.45,-1608549.85,-1694.81,-1339.93,-3034.74
2023-12,ES01,CZK,90,925972.3,4679114.92,-3753142.62,22.85,-989.35,-966.5
2023-12,ES01,JPY,87,439419.17,81133.87,358285.3,5701.67,4147.04,9848.71
2023-12,ES01,USD,90,667439.73,57854.62,609585.11,-801.0,-311.46,-1112.46
2023-12,JP01,CNY,145,459943.88,5375207.96,-4915264.08,47702.93,70901.59,118604.52
2023-12,JP01,CZK,124,353825.44,980365.28,-626539.84,-3676.15,49812.56,46136.41
2023-12,JP01,EUR,162,553401.48,56868.51,496532.97,-5982.44,-7746.55,-13728.99
2023-12,JP01,USD,144,544692.35,50545.08,494147.27,-6611.12,-11250.42,-17861.54
2023-12,US01,CNY,106,586922.89,5945677.17,-5358754.28,-29766.46,-25257.32,-55023.78
2023-12,US01,CZK,114,573371.68,1956905.7,-1383534.02,839.2,-25707.46,-24868.26
2023-12,US01,EUR,121,826357.64,218078.68,608278.96,816.09,2197.99,3014.08
2023-12,US01,JPY,110,858553.28,66132.28,792421.0,10754.81,11809.12,22563.93
2024-01,CN01,EUR,0,0.0,0.0,0.0,0.0,-518.66,-518.66
2024-01,CN01,JPY,0,0.0,0.0,0.0,0.0,12502.44,12502.44
2024-01,DE01,CNY,92,481155.42,915638.74,-434483.32,2913.38,2724.36,5637.74
2024-01,DE01,CZK,69,302496.64,3455326.12,-3152829.48,31369.23,25799.31,57168.54
2024-01,DE01,JPY,95,234124.65,47579.2,186545.45,-1227.67,-4313.52,-5541.19
2024-01,DE01,USD,84,342033.11,43585.33,298447.78,-14.78,-39.83,-54.61
2024-01,ES01,CNY,72,598149.81,52959.34,545190.47,-1223.35,8043.99,6820.64
2024-01,ES01,CZK,93,747940.03,195623.2,552316.83,-2813.43,38990.48,36177.05
2024-01,ES01,JPY,92,287769.78,205039.2,82730.58,-316.93,-4728.57,-5045.5
2024-01,ES01,USD,85,1018517.89,58099.81,960418.08,-42.95,-73.51,-116.46
2024-01,JP01,CNY,139,367663.88,1995530.32,-1627866.44,-18217.09,-30159.47,-48376.56
2024-01,JP01,CZK,123,295715.75,973383.5,-677667.75,-3570.48,786.58,-2783.9
2024-01,JP01,EUR,139,387716.67,41815.36,345901.31,1696.63,5295.72,6992.35
2024-01,JP01,USD,133,408661.55,43893.97,364767.58,1960.98,4903.41,6864.39
2024-01,US01,CNY,109,528630.39,3575626.52,-3046996.13,11801.97,9896.77,21698.74
2024-01,US01,CZK,115,439309.24,307245.01,132064.23,-161.42,13233.19,13071.77
2024-01,US01,EUR,105,487007.57,1214005.94,-726998.37,42.22,74.01,116.23
2024-01,US01,JPY,124,631558.55,104214.83,527343.72,-2920.86,-8086.87,-11007.73
2024-02,CN01,JPY,1,0.0,1023036.11,-1023036.11,0.0,0.0,0.0
2024-02,CZ01,CNY,2,0.0,2643175.05,-2643175.05,0.0,0.0,0.0
2024-02,CZ01,USD,1,0.0,113739.04,-113739.04,0.0,0.0,0.0
2024-02,DE01,CNY,86,420746.7,800822.46,-380075.76,1100.53,-4181.44,-3080.91
2024-02,DE01,CZK,96,349568.04,2978919.88,-2629351.84,378.69,64125.91,64504.6
2024-02,DE01,JPY,103,351773.08,50282.37,301490.71,-1008.44,-1209.76,-2218.2
2024-02,DE01,USD,100,460540.6,49523.24,411017.36,804.46,2248.39,3052.85
2024-02,ES01,CNY,87,317352.0,940224.47,-622872.47,580.56,3285.32,3865.88
2024-02,ES01,CZK,80,719813.68,3107652.28,-2387838.6,-4887.99,-6412.0,-11299.99
2024-02,ES01,JPY,96,331527.1,262515.62,69011.48,583.28,-1567.02,-983.74
2024-02,ES01,USD,89,534685.44,56463.94,478221.5,2690.63,7133.75,9824.38
2024-02,JP01,CNY,135,377352.05,1702410.26,-1325058.21,2700.11,-33600.3,-30900.19
2024-02,JP01,CZK,139,356267.73,451690.22,-95422.49,-558.03,6364.46,5806.43
2024-02,JP01,EUR,141,409589.0,36928.5,372660.5,1375.61,2737.56,4113.17
2024-02,JP01,USD,144,496695.78,42612.27,454083.51,3779.63,4289.16,8068.79
2024-02,US01,CNY,105,250967.18,2570742.61,-2319775.43,-238.03,9800.86,9562.83
2024-02,US01,CZK,107,475493.95,1669073.19,-1193579.24,3807.89,-7860.76,-4052.87
2024-02,US01,EUR,117,656941.18,1055316.85,-398375.67,9194.18,-1757.58,7436.6
2024-02,US01,JPY,114,368216.32,94201.05,274015.27,-4045.15,-7620.1,-11665.25
2024-03,CN01,CZK,1,0.0,186919.96,-186919.96,0.0,0.0,0.0
2024-03,CN01,JPY,1,0.0,1014266.2,-1014266.2,325.53,0.0,325.53
2024-03,CZ01,CNY,4,0.0,7770484.94,-7770484.94,15311.91,255.71,15567.62
2024-03,CZ01,USD,1,0.0,112928.43,-112928.43,541.67,0.0,541.67
2024-03,DE01,CNY,89,349702.01,919225.19,-569523.18,-1002.02,4139.24,3137.22
2024-03,DE01,CZK,93,276273.12,5911516.35,-5635243.23,6371.34,-154.2,6217.14
2024-03,DE01,JPY,92,239934.24,46487.49,193446.75,-561.65,-2022.84,-2584.49
2024-03,DE01,USD,94,451072.97,48399.84,402673.13,-1573.89,-1355.41,-2929.3
2024-03,ES01,CNY,93,485082.59,1982793.55,-1497710.96,6900.28,-1759.02,5141.26
2024-03,ES01,CZK,86,684233.67,5576562.17,-4892328.5,4586.49,1059.58,5646.07
2024-03,ES01,JPY,104,620624.22,172556.01,448068.21,-1027.7,436.09,-591.61
2024-03,ES01,USD,78,296962.64,53656.55,243306.09,-848.93,-2559.35,-3408.28
2024-03,JP01,CNY,143,385167.86,3732619.02,-3347451.16,-142.39,-279.33,-421.72
2024-03,JP01,CZK,144,404938.14,841098.92,-436160.78,797.71,-1390.11,-592.4
2024-03,JP01,EUR,147,391824.32,40664.02,351160.3,1082.84,2111.73,3194.57
2024-03,JP01,USD,147,407568.81,52081.12,355487.69,97.16,559.21,656.37
2024-03,US01,CNY,97,246495.71,5063212.5,-4816716.79,2661.87,-46.94,2614.93
2024-03,US01,CZK,109,696331.35,3245532.53,-2549201.18,-5805.31,120.87,-5684.44
2024-03,US01,EUR,122,1009915.69,94476.99,915438.7,1514.34,-4353.57,-2839.23
2024-03,US01,JPY,117,515868.8,77353.71,438515.09,-36.78,-359.16,-395.94
2024-04,CN01,CZK,1,0.0,187022.02,-187022.02,1435.86,0.0,1435.86
2024-04,CN01,JPY,0,0.0,0.0,0.0,0.0,22216.69,22216.69
2024-04,CN01,USD,2,0.0,2627103.83,-2627103.83,0.0,0.0,0.0
2024-04,CZ01,CNY,1,0.0,1594568.32,-1594568.32,-12149.02,-47541.46,-59690.48
2024-04,CZ01,EUR,1,0.0,2257659.3,-2257659.3,0.0,0.0,0.0
2024-04,CZ01,USD,0,0.0,0.0,0.0,0.0,-1458.8,-1458.8
2024-04,DE01,CNY,90,239591.22,1590489.36,-1350898.14,-7080.56,2394.65,-4685.91
2024-04,DE01,CZK,98,181633.64,2441227.83,-2259594.19,30.93,-3107.9,-3076.97
2024-04,DE01,JPY,80,362029.32,37728.17,324301.15,-1012.06,-1633.61,-2645.67
2024-04,DE01,USD,93,355711.49,37058.09,318653.4,1306.2,4115.42,5421.62
2024-04,ES01,CNY,98,759313.18,2113477.25,-1354164.07,-6177.25,-6145.5,-12322.75
2024-04,ES01,CZK,84,708136.94,3260865.47,-2552728.53,56.48,-2727.8,-2671.32
2024-04,ES01,JPY,82,409986.54,104207.75,305778.79,-1199.65,-4928.3,-6127.95
2024-04,ES01,USD,94,490999.73,74908.57,416091.16,816.71,2459.16,3275.87
2024-04,JP01,CNY,141,392696.06,4596884.16,-4204188.1,-25858.79,-47464.47,-73323.26
2024-04,JP01,CZK,119,367852.51,1316984.55,-949132.04,-4963.57,-1239.69,-6203.26
2024-04,JP01,EUR,144,446174.27,44649.2,401525.07,2058.57,2744.06,4802.63
2024-04,JP01,USD,127,375200.17,44674.89,330525.28,4329.42,5318.58,9648.0
2024-04,US01,CNY,89,288870.71,5203463.49,-4914592.78,13097.19,12124.35,25221.54
2024-04,US01,CZK,126,971088.45,3538667.58,-2567579.13,20663.29,12267.14,32930.43
2024-04,US01,EUR,122,836927.48,191253.7,645673.78,-3742.69,-8582.66,-12325.35
2024-04,US01,JPY,109,724683.93,53075.14,671608.79,-6266.29,-5635.13,-11901.42
2024-05,CN01,CZK,0,0.0,0.0,0.0,0.0,-4774.32,-4774.32
2024-05,CN01,EUR,1,0.0,1031651.47,-1031651.47,0.0,0.0,0.0
2024-05,CN01,USD,2,0.0,2385043.19,-2385043.19,216.41,1885.91,2102.32
2024-05,CZ01,CNY,0,0.0,0.0,0.0,0.0,40706.33,40706.33
2024-05,CZ01,EUR,1,0.0,2257659.3,-2257659.3,41803.57,0.0,41803.57
2024-05,CZ01,JPY,1,0.0,26854.65,-26854.65,0.0,0.0,0.0
2024-05,CZ01,USD,1,0.0,2434233.94,-2434233.94,0.0,0.0,0.0
2024-05,DE01,CNY,87,323590.41,1589520.06,-1265929.65,3725.05,5747.18,9472.23
2024-05,DE01,CZK,97,382338.25,5104966.85,-4722628.6,-43599.94,1760.51,-41839.43
2024-05,DE01,JPY,102,506583.38,44691.57,461891.81,-3869.64,-2878.3,-6747.94
2024-05,DE01,USD,86,369559.32,26246.58,343312.74,-1464.74,-1024.64,-2489.38
2024-05,ES01,CNY,80,396351.48,1920412.08,-1524060.6,5748.72,3746.37,9495.09
2024-05,ES01,CZK,92,1041587.26,3185723.02,-2144135.76,8036.16,-55303.28,-47267.12
2024-05,ES01,JPY,77,301232.86,37241.71,263991.15,-2540.29,-3822.27,-6362.56
2024-05,ES01,USD,110,659301.81,78033.25,581268.56,-1492.51,-1758.06,-3250.57
2024-05,JP01,CNY,148,448295.41,2566340.26,-2118044.85,1165.64,-59165.89,-58000.25
2024-05,JP01,CZK,134,449112.92,1070327.33,-621214.41,-7311.87,-30011.74,-37323.61
2024-05,JP01,EUR,150,500709.07,50978.72,449730.35,3549.98,4804.74,8354.72
2024-05,JP01,USD,130,290929.46,43463.44,247466.02,857.65,3437.71,4295.36
2024-05,US01,CNY,94,288749.15,4869020.61,-4580271.46,-1958.81,-1973.91,-3932.72
2024-05,US01,CZK,114,980659.9,3015437.31,-2034777.41,-26986.41,-40613.72,-67600.13
2024-05,US01,EUR,112,1158292.37,44079.34,1114213.03,2924.61,2119.45,5044.06
2024-05,US01,JPY,96,580112.92,110048.97,470063.95,-2571.13,-6156.81,-8727.94
2024-06,CN01,EUR,1,0.0,784483.35,-784483.35,0.0,2055.59,2055.59
2024-06,CN01,USD,2,0.0,2396096.57,-2396096.57,-6254.3,-792.8,-7047.1
2024-06,CZ01,CNY,1,0.0,1583937.06,-1583937.06,0.0,0.0,0.0
2024-06,CZ01,EUR,0,0.0,0.0,0.0,0.0,3621.73,3621.73
2024-06,CZ01,JPY,1,0.0,26652.76,-26652.76,244.97,0.0,244.97
2024-06,CZ01,USD,0,0.0,0.0,0.0,0.0,-8137.73,-8137.73
2024-06,DE01,CNY,92,438710.18,885885.87,-447175.69,179.07,-2701.49,-2522.42
2024-06,DE01,CZK,89,478290.3,2631206.11,-2152915.81,342.45,-7918.47,-7576.02
2024-06,DE01,JPY,103,540151.07,44179.77,495971.3,-1097.88,-2374.52,-3472.4
2024-06,DE01,USD,78,260296.97,32160.98,228135.99,323.43,1374.98,1698.41
2024-06,ES01,CNY,96,591980.78,1227752.09,-635771.31,351.33,-3388.08,-3036.75
2024-06,ES01,CZK,94,704146.54,4771856.91,-4067710.37,-645.45,-2794.15,-3439.6
2024-06,ES01,JPY,87,569153.31,146704.78,422448.53,-667.37,-1317.28,-1984.65
2024-06,ES01,USD,124,999808.7,225463.03,774345.67,1228.22,1647.43,2875.65
2024-06,JP01,CNY,152,485933.76,5844083.44,-5358149.68,-22210.87,2067.42,-20143.45
2024-06,JP01,CZK,144,472326.28,1578360.03,-1106033.75,-4559.8,-1107.09,-5666.89
2024-06,JP01,EUR,158,485573.95,52436.34,433137.61,880.75,2500.24,3380.99
2024-06,JP01,USD,122,429714.11,40539.29,389174.82,1547.84,1536.84,3084.68
2024-06,US01,CNY,108,586161.36,5085039.16,-4498877.8,6631.93,6901.35,13533.28
2024-06,US01,CZK,101,400564.34,3191188.51,-2790624.17,4209.04,2593.28,6802.32
2024-06,US01,EUR,107,742369.74,103801.41,638568.33,-2338.83,-3173.3,-5512.13
2024-06,US01,JPY,109,408614.78,107272.64,301342.14,-1717.03,-4142.33,-5859.36
2024-07,CN01,EUR,0,0.0,0.0,0.0,0.0,-6963.07,-6963.07
2024-07,CN01,USD,1,0.0,266789.4,-266789.4,-276.86,-2190.17,-2467.03
2024-07,CZ01,CNY,2,0.0,2866396.5,-2866396.5,-18491.82,0.0,-18491.82
2024-07,CZ01,JPY,0,0.0,0.0,0.0,0.0,-336.3,-336.3
2024-07,DE01,CNY,85,536640.54,583176.31,-46535.77,-2157.94,6127.03,3969.09
2024-07,DE01,CZK,79,268143.5,2031972.13,-1763828.63,-1827.3,46071.03,44243.73
2024-07,DE01,JPY,80,351470.87,37776.63,313694.24,-1666.19,-2268.33,-3934.52
2024-07,DE01,USD,91,338537.92,45102.17,293435.75,-684.26,-1105.76,-1790.02
2024-07,ES01,CNY,103,595345.3,941708.42,-346363.12,2346.28,3296.79,5643.07
2024-07,ES01,CZK,65,251154.91,4895405.9,-4644250.99,60732.87,22860.94,83593.81
2024-07,ES01,JPY,93,1185484.25,216267.5,969216.75,-1601.88,-1749.38,-3351.26
2024-07,ES01,USD,85,725635.97,164005.36,561630.61,-2480.62,-3595.21,-6075.83
2024-07,JP01,CNY,147,358678.04,4611751.18,-4253073.14,2958.77,2094.93,5053.7
2024-07,JP01,CZK,137,318947.86,366003.13,-47055.27,-950.6,14906.18,13955.58
2024-07,JP01,EUR,139,486335.76,43409.94,442925.82,1153.24,2282.86,3436.1
2024-07,JP01,USD,138,497966.56,37032.18,460934.38,18.14,15.48,33.62
2024-07,US01,CNY,104,409221.29,2052297.16,-1643075.87,-186.33,4818.44,4632.11
2024-07,US01,CZK,108,589656.67,2853322.51,-2263665.84,21073.8,14378.77,35452.57
2024-07,US01,EUR,107,892369.61,125299.13,767070.48,347.46,4663.02,5010.48
2024-07,US01,JPY,118,461121.77,189657.8,271463.97,-13.44,-12.55,-25.99
2024-08,CN01,USD,0,0.0,0.0,0.0,0.0,4120.17,4120.17
2024-08,CZ01,CNY,0,0.0,0.0,0.0,0.0,13133.95,13133.95
2024-08,CZ01,USD,1,0.0,1037907.32,-1037907.32,0.0,0.0,0.0
2024-08,DE01,CNY,75,302499.89,325772.55,-23272.66,24.26,-32.53,-8.27
2024-08,DE01,CZK,88,331357.29,3074519.9,-2743162.61,-9185.69,787.88,-8397.81
2024-08,DE01,JPY,86,314991.69,40657.21,274334.48,2354.93,17347.29,19702.22
2024-08,DE01,USD,99,445438.37,38865.11,406573.26,-2064.79,-2414.37,-4479.16
2024-08,ES01,CNY,78,603625.48,377911.45,225714.03,74.61,-136.59,-61.98
2024-08,ES01,CZK,71,369622.48,3511538.49,-3141916.01,-8697.79,-13414.09,-22111.88
2024-08,ES01,JPY,88,627085.02,128970.2,498114.82,14854.28,46019.31,60873.59
2024-08,ES01,USD,64,468718.34,27368.62,441349.72,-2634.44,-5938.52,-8572.96
2024-08,JP01,CNY,137,320177.46,1346643.21,-1026465.75,38600.59,227760.59,266361.18
2024-08,JP01,CZK,149,394547.72,404579.46,-10031.74,5495.27,-2763.84,2731.43
2024-08,JP01,EUR,125,308375.35,39803.14,268572.21,-9034.62,-18784.23,-27818.85
2024-08,JP01,USD,147,451566.22,33219.85,418346.37,-7801.41,-28184.29,-35985.7
2024-08,US01,CNY,112,477004.4,2887199.85,-2410195.45,-29322.3,3947.39,-25374.91
2024-08,US01,CZK,105,765158.92,1743600.0,-978441.08,-18724.99,-26606.26,-45331.25
2024-08,US01,EUR,105,645640.96,70620.63,575020.33,4724.17,6984.73,11708.9
2024-08,US01,JPY,114,434816.36,159524.41,275291.95,2722.06,18471.57,21193.63
2024-09,CZ01,EUR,1,0.0,283948.31,-283948.31,0.0,0.0,0.0
2024-09,CZ01,USD,3,0.0,2039400.94,-2039400.94,12048.78,0.0,12048.78
2024-09,DE01,CNY,99,332299.74,1286007.95,-953708.21,55.23,-92.11,-36.88
2024-09,DE01,CZK,101,523488.57,4548574.52,-4025085.95,-2665.15,-6006.52,-8671.67
2024-09,DE01,JPY,96,465705.78,40843.84,424861.94,1783.61,1621.4,3405.01
2024-09,DE01,USD,91,355435.8,36409.07,319026.73,-964.88,-2469.59,-3434.47
2024-09,ES01,CNY,76,472509.23,1592944.17,-1120434.94,98.76,259.55,358.31
2024-09,ES01,CZK,88,577801.91,6423982.36,-5846180.45,-3140.38,-6791.86,-9932.24
2024-09,ES01,JPY,99,941009.53,237476.99,703532.54,1535.76,4646.83,6182.59
2024-09,ES01,USD,86,739505.04,183575.97,555929.07,-2033.12,-1695.16,-3728.28
2024-09,JP01,CNY,141,384784.91,5491009.42,-5106224.51,5127.43,5983.75,11111.18
2024-09,JP01,CZK,141,388747.1,1136113.78,-747366.68,-1318.71,1411.45,92.74
2024-09,JP01,EUR,147,456527.9,47426.97,409100.93,-371.58,-2961.92,-3333.5
2024-09,JP01,USD,146,584656.84,36355.94,548300.9,-3958.91,-4767.6,-8726.51
2024-09,US01,CNY,122,515603.14,3985199.69,-3469596.55,2139.48,-26325.29,-24185.81
2024-09,US01,CZK,103,359152.35,2766575.62,-2407423.27,-6289.63,-5068.84,-11358.47
2024-09,US01,EUR,107,638103.39,190423.42,447679.97,1080.36,3777.1,4857.46
2024-09,US01,JPY,120,820888.22,80844.24,740043.98,2583.63,3158.74,5742.37
2024-10,CN01,USD,1,0.0,250354.89,-250354.89,0.0,0.0,0.0
2024-10,CZ01,EUR,1,0.0,283948.31,-283948.31,-2228.79,0.0,-2228.79
2024-10,CZ01,JPY,1,0.0,1324232.54,-1324232.54,0.0,0.0,0.0
2024-10,CZ01,USD,2,0.0,1028943.96,-1028943.96,-26612.43,-27109.72,-53722.15
2024-10,DE01,CNY,93,446510.5,1155824.8,-709314.3,634.58,-17112.12,-16477.54
2024-10,DE01,CZK,105,445198.59,3297065.4,-2851866.81,-1136.71,32730.8,31594.09
2024-10,DE01,JPY,95,536213.95,39255.37,496958.58,-4041.46,-6674.03,-10715.49
2024-10,DE01,USD,86,231492.26,48151.58,183340.68,1715.52,4184.17,5899.69
2024-10,ES01,CNY,80,531103.36,1446942.42,-915839.06,1820.12,-21178.28,-19358.16
2024-10,ES01,CZK,98,549081.63,9305297.78,-8756216.15,39295.65,6592.8,45888.45
2024-10,ES01,JPY,113,748840.44,375621.7,373218.74,-8323.73,-9420.17,-17743.9
2024-10,ES01,USD,92,796747.46,67621.59,729125.87,4051.56,6229.13,10280.69
2024-10,JP01,CNY,130,343584.12,6859146.44,-6515562.32,-126173.07,-90833.58,-217006.65
2024-10,JP01,CZK,148,523111.81,1800311.24,-1277199.43,-16861.42,3878.24,-12983.18
2024-10,JP01,EUR,143,526727.22,49568.17,477159.05,3800.18,6517.76,10317.94
2024-10,JP01,USD,137,438243.84,49813.0,388430.84,10063.27,13905.09,23968.36
2024-10,US01,CNY,101,372002.08,6833236.14,-6461234.06,4657.76,-440.74,4217.02
2024-10,US01,CZK,105,769072.87,3739753.44,-2970680.57,53641.93,9774.62,63416.55
2024-10,US01,EUR,115,620805.09,133942.14,486862.95,-3270.07,-5008.81,-8278.88
2024-10,US01,JPY,101,746102.42,74599.06,671503.36,-18302.05,-14048.2,-32350.25
2024-11,CN01,USD,1,0.0,2001401.99,-2001401.99,0.0,-4304.79,-4304.79
2024-11,CZ01,EUR,1,0.0,2149243.92,-2149243.92,0.0,-35.27,-35.27
2024-11,CZ01,JPY,1,0.0,1323933.57,-1323933.57,134.48,0.0,134.48
2024-11,CZ01,USD,0,0.0,0.0,0.0,0.0,-26669.46,-26669.46
2024-11,DE01,CNY,108,657161.64,2193649.84,-1536488.2,-7699.53,1599.22,-6100.31
2024-11,DE01,CZK,107,446648.12,6143088.8,-5696440.68,386.87,-32.59,354.28
2024-11,DE01,JPY,95,402705.21,53811.96,348893.25,-38.97,-73.18,-112.15
2024-11,DE01,USD,100,432817.24,51346.52,381470.72,1977.47,2751.8,4729.27
2024-11,ES01,CNY,91,563758.58,2568312.07,-2004553.49,-10350.34,2473.94,-7876.4
2024-11,ES01,CZK,101,383516.37,7452921.59,-7069405.22,496.41,591.29,1087.7
2024-11,ES01,JPY,96,664758.39,247845.79,416912.6,-10.51,-73.78,-84.29
2024-11,ES01,USD,95,561507.26,98527.5,462979.76,7910.34,10897.5,18807.84
2024-11,JP01,CNY,144,483745.77,5981317.05,-5497571.28,-19687.1,-37819.46,-57506.56
2024-11,JP01,CZK,142,559117.41,1124002.45,-564885.04,-15.9,-113.86,-129.76
2024-11,JP01,EUR,129,477322.03,36967.62,440354.41,50.04,57.65,107.69
2024-11,JP01,USD,142,483202.14,47921.76,435280.38,2053.41,8053.88,10107.29
2024-11,US01,CNY,115,582914.92,2924172.65,-2341257.73,-2863.74,113963.12,111099.38
2024-11,US01,CZK,105,580188.94,1659312.27,-1079123.33,-6185.65,83183.6,76997.95
2024-11,US01,EUR,106,830068.39,208873.15,621195.24,-6362.08,-6196.6,-12558.68
2024-11,US01,JPY,101,625886.81,63056.42,562830.39,-3764.37,-13708.69,-17473.06
