month,entity,division,function,opening_fte,target_fte,hires,attrition,ending_fte,average_fte,annual_loaded_cost_per_fte,payroll_cost,recruitment_cost,personnel_cost,revenue,revenue_per_fte
2023-10,ES01,Spare Parts,G&A,3.492,3.503,0.0236,0.032,3.4836,3.4878,79568.58,23126.71,177.33,23304.05,377579.05,108256.6
2023-10,JP01,Hardware,Sales,7.3969,7.4202,0.0501,0.0678,7.3792,7.3881,121406.26,74746.4,375.64,75122.04,934830.56,126532.61
2023-10,JP01,Hardware,Product Management,4.9313,4.9468,0.0334,0.0452,4.9195,4.9254,123613.65,50736.95,250.43,50987.38,623220.37,126532.61
2023-10,JP01,Hardware,Supply Chain & Commercial Ops,6.1641,6.1835,0.0417,0.0565,6.1493,6.1567,102643.47,52662.24,313.03,52975.27,779025.46,126532.61
2023-10,JP01,Hardware,G&A,6.1641,6.1835,0.0417,0.0565,6.1493,6.1567,110369.33,56626.06,313.03,56939.09,779025.46,126532.61
2023-10,JP01,Software,R&D,2.2231,2.2301,0.0151,0.0204,2.2178,2.2205,126924.73,23485.96,112.9,23598.86,201349.35,90679.05
2023-10,JP01,Software,Sales,1.4041,1.4085,0.0095,0.0129,1.4007,1.4024,121406.26,14188.31,71.3,14259.62,127168.01,90679.05
2023-10,JP01,Software,Customer Success,1.1701,1.1737,0.0079,0.0107,1.1673,1.1687,101539.78,9888.82,59.42,9948.24,105973.34,90679.05
2023-10,JP01,Software,G&A,1.0531,1.0564,0.0071,0.0097,1.0505,1.0518,110369.33,9673.85,53.48,9727.33,95376.01,90679.05
2023-10,JP01,Spare Parts,Service Operations,8.3933,8.4197,0.0568,0.0769,8.3732,8.3832,97125.01,67851.88,426.24,68278.12,928225.64,110723.93
2023-10,JP01,Spare Parts,Sales,4.7962,4.8113,0.0325,0.044,4.7847,4.7904,121406.26,48465.63,243.56,48709.19,530414.65,110723.93
2023-10,JP01,Spare Parts,Planning,5.9952,6.0141,0.0406,0.055,5.9808,5.988,103747.17,51770.1,304.46,52074.56,663018.32,110723.93
2023-10,JP01,Spare Parts,G&A,4.7962,4.8113,0.0325,0.044,4.7847,4.7904,110369.33,44059.66,243.56,44303.23,530414.65,110723.93
2023-10,US01,Events,Project Delivery,6.7788,6.8002,0.0459,0.0621,6.7626,6.7707,136293.29,76900.28,344.25,77244.53,636786.35,94050.05
2023-10,US01,Events,Sales,3.0128,3.0223,0.0204,0.0276,3.0056,3.0092,166580.68,41772.99,153.0,41925.99,283016.15,94050.05
2023-10,US01,Events,Program Management,3.0128,3.0223,0.0204,0.0276,3.0056,3.0092,154465.72,38734.96,153.0,38887.96,283016.15,94050.05
2023-10,US01,Events,G&A,2.2596,2.2667,0.0153,0.0207,2.2542,2.2569,151436.98,28481.59,114.75,28596.34,212262.12,94050.05
2023-10,US01,Hardware,Sales,13.3104,13.3522,0.0901,0.122,13.2785,13.2944,166580.68,184549.39,675.94,185225.33,1693249.94,127365.51
2023-10,US01,Hardware,Product Management,8.8736,8.9015,0.0601,0.0813,8.8523,8.8629,169609.42,125269.89,450.63,125720.52,1128833.29,127365.51
2023-10,US01,Hardware,Supply Chain & Commercial Ops,11.092,11.1268,0.0751,0.1017,11.0654,11.0787,140836.4,130023.43,563.29,130586.72,1411041.61,127365.51
2023-10,US01,Hardware,G&A,11.092,11.1268,0.0751,0.1017,11.0654,11.0787,151436.98,139810.14,563.29,140373.43,1411041.61,127365.51
2023-10,US01,Software,R&D,3.3397,3.3502,0.0226,0.0306,3.3317,3.3357,174152.53,48410.07,169.6,48579.67,296925.64,89014.45
2023-10,US01,Software,Sales,2.1093,2.1159,0.0143,0.0193,2.1042,2.1068,166580.68,29245.44,107.12,29352.56,187531.98,89014.45
2023-10,US01,Software,Customer Success,1.7577,1.7633,0.0119,0.0161,1.7535,1.7556,139322.03,20383.19,89.26,20472.45,156276.65,89014.45
2023-10,US01,Software,G&A,1.582,1.5869,0.0107,0.0145,1.5782,1.5801,151436.98,19940.08,80.34,20020.41,140648.99,89014.45
2023-11,DE01,Hardware,Sales,11.463,11.7919,0.2387,0.1051,11.5966,11.5298,130217.82,125115.09,1790.13,126905.22,1558186.51,135144.67
2023-11,DE01,Hardware,Product Management,7.642,7.8612,0.1591,0.0701,7.731,7.6865,132585.42,84926.61,1193.42,86120.03,1038791.01,135144.67
2023-11,DE01,Hardware,Supply Chain & Commercial Ops,9.5525,9.8265,0.1989,0.0876,9.6638,9.6081,110093.25,88149.27,1491.78,89641.04,1298488.76,135144.67
2023-11,DE01,Hardware,G&A,9.5525,9.8265,0.1989,0.0876,9.6638,9.6081,118379.84,94784.16,1491.78,96275.93,1298488.76,135144.67
2023-11,DE01,Software,R&D,2.6748,2.7086,0.0321,0.0245,2.6824,2.6786,136136.82,30388.1,240.39,30628.49,236719.65,88374.11
2023-11,DE01,Software,Sales,1.6894,1.7107,0.0202,0.0155,1.6941,1.6918,130217.82,18358.03,151.82,18509.86,149507.15,88374.11
2023-11,DE01,Software,Customer Success,1.4078,1.4256,0.0169,0.0129,1.4118,1.4098,108909.45,12794.99,126.52,12921.51,124589.29,88374.11
2023-11,DE01,Software,G&A,1.267,1.283,0.0152,0.0116,1.2706,1.2688,118379.84,12516.84,113.87,12630.71,112130.36,88374.11
2023-11,ES01,Events,Project Delivery,7.8465,16.7907,4.9589,0.0719,12.7334,10.29,71799.95,61568.16,37191.56,98759.71,1760871.0,171125.32
2023-11,ES01,Events,Sales,3.4873,7.4625,2.2039,0.032,5.6593,4.5733,87755.49,33444.43,16529.58,49974.01,782609.33,171125.32
2023-11,ES01,Events,Program Management,3.4873,7.4625,2.2039,0.032,5.6593,4.5733,81373.27,31012.11,16529.58,47541.69,782609.33,171125.32
2023-11,ES01,Events,G&A,2.6155,5.5969,1.653,0.024,4.2445,3.43,79777.72,22803.02,12397.19,35200.21,586957.0,171125.32
2023-11,ES01,Hardware,Sales,10.2151,10.649,0.2902,0.0936,10.4116,10.3134,87755.49,75421.22,2176.23,77597.45,1433716.46,139015.36
2023-11,ES01,Hardware,Product Management,6.8101,7.0994,0.1934,0.0624,6.9411,6.8756,89351.04,51195.01,1450.82,52645.83,955810.97,139015.36
2023-11,ES01,Hardware,Supply Chain & Commercial Ops,8.5126,8.8742,0.2418,0.078,8.6764,8.5945,74193.28,53137.68,1813.52,54951.2,1194763.72,139015.36
2023-11,ES01,Hardware,G&A,8.5126,8.8742,0.2418,0.078,8.6764,8.5945,79777.72,57137.29,1813.52,58950.81,1194763.72,139015.36
2023-11,ES01,Spare Parts,Service Operations,6.0964,6.2274,0.1028,0.0559,6.1433,6.1198,70204.39,35803.23,771.17,36574.41,699885.43,114363.59
2023-11,ES01,Spare Parts,Sales,3.4836,3.5585,0.0588,0.0319,3.5105,3.497,87755.49,25573.74,440.67,26014.41,399934.53,114363.59
2023-11,ES01,Spare Parts,Planning,4.3545,4.4482,0.0734,0.0399,4.3881,4.3713,74991.05,27317.4,550.84,27868.24,499918.16,114363.59
2023-11,ES01,Spare Parts,G&A,3.4836,3.5585,0.0588,0.0319,3.5105,3.497,79777.72,23248.85,440.67,23689.52,399934.53,114363.59
2023-11,JP01,Hardware,Sales,7.3792,7.4383,0.0697,0.0676,7.3813,7.3802,121725.36,74863.46,522.81,75386.26,1024217.64,138778.5
2023-11,JP01,Hardware,Product Management,4.9195,4.9589,0.0465,0.0451,4.9208,4.9202,123938.54,50816.41,348.54,51164.95,682811.76,138778.5
2023-11,JP01,Hardware,Supply Chain & Commercial Ops,6.1493,6.1986,0.0581,0.0564,6.1511,6.1502,102913.26,52744.71,435.67,53180.38,853514.7,138778.5
2023-11,JP01,Hardware,G&A,6.1493,6.1986,0.0581,0.0564,6.1511,6.1502,110659.42,56714.74,435.67,57150.41,853514.7,138778.5
2023-11,JP01,Software,R&D,2.2178,2.2622,0.0356,0.0203,2.2331,2.2254,127258.33,23600.52,267.15,23867.67,198308.61,89109.69
2023-11,JP01,Software,Sales,1.4007,1.4288,0.0225,0.0128,1.4104,1.4055,121725.36,14257.52,168.72,14426.25,125247.54,89109.69
2023-11,JP01,Software,Customer Success,1.1673,1.1906,0.0187,0.0107,1.1753,1.1713,101806.66,9937.06,140.6,10077.67,104372.95,89109.69
2023-11,JP01,Software,G&A,1.0505,1.0716,0.0169,0.0096,1.0578,1.0542,110659.42,9721.04,126.54,9847.58,93935.66,89109.69
2023-11,JP01,Spare Parts,Service Operations,8.3732,8.6523,0.1957,0.0768,8.4922,8.4327,97380.29,68431.35,1467.92,69899.27,964127.87,114332.4
2023-11,JP01,Spare Parts,Sales,4.7847,4.9442,0.1118,0.0439,4.8527,4.8187,121725.36,48879.54,838.81,49718.35,550930.21,114332.4
2023-11,JP01,Spare Parts,Planning,5.9808,6.1802,0.1398,0.0548,6.0658,6.0233,104019.85,52212.23,1048.52,53260.75,688662.76,114332.4
2023-11,JP01,Spare Parts,G&A,4.7847,4.9442,0.1118,0.0439,4.8527,4.8187,110659.42,44435.94,838.81,45274.76,550930.21,114332.4
2023-11,US01,Events,Project Delivery,6.7626,7.6335,0.5131,0.062,7.2137,6.9882,136651.51,79578.45,3848.22,83426.67,702733.27,100560.69
2023-11,US01,Events,Sales,3.0056,3.3927,0.228,0.0276,3.2061,3.1058,167018.51,43227.8,1710.32,44938.12,312325.9,100560.69
2023-11,US01,Events,Program Management,3.0056,3.3927,0.228,0.0276,3.2061,3.1058,154871.71,40083.96,1710.32,41794.28,312325.9,100560.69
2023-11,US01,Events,G&A,2.2542,2.5445,0.171,0.0207,2.4046,2.3294,151835.01,29473.5,1282.74,30756.24,234244.42,100560.69
2023-11,US01,Hardware,Sales,13.2785,13.429,0.1497,0.1217,13.3065,13.2925,167018.51,185007.6,1123.1,186130.7,1759847.8,132394.19
2023-11,US01,Hardware,Product Management,8.8523,8.9527,0.0998,0.0811,8.871,8.8617,170055.21,125580.91,748.74,126329.65,1173231.87,132394.19
2023-11,US01,Hardware,Supply Chain & Commercial Ops,11.0654,11.1909,0.1248,0.1014,11.0887,11.0771,141206.56,130346.26,935.92,131282.18,1466539.84,132394.19
2023-11,US01,Hardware,G&A,11.0654,11.1909,0.1248,0.1014,11.0887,11.0771,151835.01,140157.27,935.92,141093.19,1466539.84,132394.19
2023-11,US01,Software,R&D,3.3317,3.3668,0.0361,0.0305,3.3373,3.3345,174610.26,48519.5,270.7,48790.2,303757.64,91096.02
2023-11,US01,Software,Sales,2.1042,2.1264,0.0228,0.0193,2.1077,2.106,167018.51,29311.55,170.97,29482.52,191846.93,91096.02
2023-11,US01,Software,Customer Success,1.7535,1.772,0.019,0.0161,1.7564,1.755,139688.21,20429.26,142.47,20571.74,159872.44,91096.02
2023-11,US01,Software,G&A,1.5782,1.5948,0.0171,0.0145,1.5808,1.5795,151835.01,19985.15,128.23,20113.38,143885.2,91096.02
2023-12,DE01,Hardware,Sales,11.5966,11.9962,0.2783,0.1063,11.7685,11.6826,130560.08,127106.28,2087.05,129193.32,1613677.64,138127.11
2023-12,DE01,Hardware,Product Management,7.731,7.9975,0.1855,0.0709,7.8457,7.7884,132933.9,86278.2,1391.36,87669.57,1075785.09,138127.11
2023-12,DE01,Hardware,Supply Chain & Commercial Ops,9.6638,9.9968,0.2319,0.0886,9.8071,9.7355,110382.61,89552.15,1739.21,91291.36,1344731.36,138127.11
2023-12,DE01,Hardware,G&A,9.6638,9.9968,0.2319,0.0886,9.8071,9.7355,118690.98,96292.64,1739.21,98031.84,1344731.36,138127.11
2023-12,DE01,Software,R&D,2.6824,2.703,0.0249,0.0246,2.6827,2.6825,136494.63,30512.53,186.68,30699.22,242939.48,90563.69
2023-12,DE01,Software,Sales,1.6941,1.7072,0.0157,0.0155,1.6943,1.6942,130560.08,18433.2,117.9,18551.11,153435.46,90563.69
2023-12,DE01,Software,Customer Success,1.4118,1.4227,0.0131,0.0129,1.4119,1.4119,109195.7,12847.38,98.25,12945.64,127862.88,90563.69
2023-12,DE01,Software,G&A,1.2706,1.2804,0.0118,0.0116,1.2707,1.2707,118690.98,12568.09,88.43,12656.52,115076.6,90563.69
2023-12,ES01,Events,Project Delivery,12.7334,18.9855,3.5028,0.1167,16.1195,14.4265,71988.66,86545.19,26271.12,112816.31,1265471.42,87718.71
2023-12,ES01,Events,Sales,5.6593,8.438,1.5568,0.0519,7.1642,6.4118,87986.14,47012.2,11676.05,58688.26,562431.74,87718.71
2023-12,ES01,Events,Program Management,5.6593,8.438,1.5568,0.0519,7.1642,6.4118,81587.15,43593.13,11676.05,55269.19,562431.74,87718.71
2023-12,ES01,Events,G&A,4.2445,6.3285,1.1676,0.0389,5.3732,4.8088,79987.4,32053.78,8757.04,40810.82,421823.81,87718.71
2023-12,ES01,Hardware,Sales,10.4116,10.9042,0.3234,0.0954,10.6396,10.5256,87986.14,77175.6,2425.39,79600.99,1541380.56,146441.07
2023-12,ES01,Hardware,Product Management,6.9411,7.2694,0.2156,0.0636,7.0931,7.0171,89585.89,52385.86,1616.93,54002.79,1027587.04,146441.07
2023-12,ES01,Hardware,Supply Chain & Commercial Ops,8.6764,9.0868,0.2695,0.0795,8.8663,8.7713,74388.28,54373.72,2021.16,56394.88,1284483.8,146441.07
2023-12,ES01,Hardware,G&A,8.6764,9.0868,0.2695,0.0795,8.8663,8.7713,79987.4,58466.36,2021.16,60487.52,1284483.8,146441.07
2023-12,ES01,Spare Parts,Service Operations,6.1433,6.3805,0.1614,0.0563,6.2484,6.1958,70388.91,36343.24,1210.57,37553.81,731143.24,118005.4
2023-12,ES01,Spare Parts,Sales,3.5105,3.646,0.0922,0.0322,3.5705,3.5405,87986.14,25959.46,691.76,26651.21,417796.14,118005.4
2023-12,ES01,Spare Parts,Planning,4.3881,4.5575,0.1153,0.0402,4.4631,4.4256,75188.16,27729.42,864.7,28594.11,522245.17,118005.4
2023-12,ES01,Spare Parts,G&A,3.5105,3.646,0.0922,0.0322,3.5705,3.5405,79987.4,23599.5,691.76,24291.26,417796.14,118005.4
2023-12,JP01,Hardware,Sales,7.3813,7.6771,0.1999,0.0677,7.5135,7.4474,122045.29,75743.17,1499.23,77242.4,1054936.56,141651.98
2023-12,JP01,Hardware,Product Management,4.9208,5.118,0.1333,0.0451,5.009,4.9649,124264.3,51413.55,999.49,52413.03,703291.04,141651.98
2023-12,JP01,Hardware,Supply Chain & Commercial Ops,6.1511,6.3975,0.1666,0.0564,6.2613,6.2062,103183.75,53364.51,1249.36,54613.86,879113.8,141651.98
2023-12,JP01,Hardware,G&A,6.1511,6.3975,0.1666,0.0564,6.2613,6.2062,110950.27,57381.19,1249.36,58630.55,879113.8,141651.98
2023-12,JP01,Software,R&D,2.2331,2.2599,0.026,0.0205,2.2386,2.2358,127592.81,23773.17,194.9,23968.07,203298.62,90926.87
2023-12,JP01,Software,Sales,1.4104,1.4273,0.0164,0.0129,1.4139,1.4121,122045.29,14361.82,123.1,14484.92,128399.13,90926.87
2023-12,JP01,Software,Customer Success,1.1753,1.1894,0.0137,0.0108,1.1782,1.1768,102074.24,10009.76,102.58,10112.34,106999.27,90926.87
2023-12,JP01,Software,G&A,1.0578,1.0705,0.0123,0.0097,1.0604,1.0591,110950.27,9792.15,92.32,9884.48,96299.34,90926.87
2023-12,JP01,Spare Parts,Service Operations,8.4922,8.8385,0.2333,0.0778,8.6476,8.5699,97636.23,69727.6,1749.72,71477.32,1024777.56,119578.93
2023-12,JP01,Spare Parts,Sales,4.8527,5.0506,0.1333,0.0445,4.9415,4.8971,122045.29,49805.43,999.84,50805.27,585587.18,119578.93
2023-12,JP01,Spare Parts,Planning,6.0658,6.3132,0.1666,0.0556,6.1769,6.1213,104293.25,53201.25,1249.8,54451.05,731983.97,119578.93
2023-12,JP01,Spare Parts,G&A,4.8527,5.0506,0.1333,0.0445,4.9415,4.8971,110950.27,45277.66,999.84,46277.5,585587.18,119578.93
2023-12,US01,Events,Project Delivery,7.2137,8.1979,0.5777,0.0661,7.7253,7.4695,137010.68,85283.23,4332.61,89615.84,1313115.81,175797.45
2023-12,US01,Events,Sales,3.2061,3.6435,0.2567,0.0294,3.4334,3.3198,167457.49,46326.69,1925.61,48252.3,583607.03,175797.45
2023-12,US01,Events,Program Management,3.2061,3.6435,0.2567,0.0294,3.4334,3.3198,155278.77,42957.48,1925.61,44883.08,583607.03,175797.45
2023-12,US01,Events,G&A,2.4046,2.7326,0.1926,0.022,2.5751,2.4898,152234.09,31586.38,1444.2,33030.59,437705.27,175797.45
2023-12,US01,Hardware,Sales,13.3065,13.6227,0.241,0.122,13.4255,13.366,167457.49,186520.03,1807.64,188327.66,1858819.41,139070.52
2023-12,US01,Hardware,Product Management,8.871,9.0818,0.1607,0.0813,8.9504,8.9107,170502.18,126607.53,1205.09,127812.62,1239212.94,139070.52
2023-12,US01,Hardware,Supply Chain & Commercial Ops,11.0887,11.3523,0.2008,0.1016,11.188,11.1384,141577.7,131411.84,1506.36,132918.2,1549016.18,139070.52
2023-12,US01,Hardware,G&A,11.0887,11.3523,0.2008,0.1016,11.188,11.1384,152234.09,141303.05,1506.36,142809.41,1549016.18,139070.52
2023-12,US01,Software,R&D,3.3373,3.396,0.0491,0.0306,3.3558,3.3465,175069.2,48822.88,368.6,49191.48,307229.1,91805.23
2023-12,US01,Software,Sales,2.1077,2.1449,0.031,0.0193,2.1195,2.1136,167457.49,29494.83,232.8,29727.63,194039.43,91805.23
2023-12,US01,Software,Customer Success,1.7564,1.7874,0.0259,0.0161,1.7662,1.7613,140055.36,20557.0,194.0,20751.0,161699.52,91805.23
2023-12,US01,Software,G&A,1.5808,1.6086,0.0233,0.0145,1.5896,1.5852,152234.09,20110.11,174.6,20284.71,145529.57,91805.23
2024-01,DE01,Hardware,Sales,11.7685,12.4396,0.4284,0.1079,12.0891,11.9288,130903.24,130126.64,3213.11,133339.75,1211451.49,101556.79
2024-01,DE01,Hardware,Product Management,7.8457,8.2931,0.2856,0.0719,8.0594,7.9525,133283.29,88328.39,2142.07,90470.46,807634.32,101556.79
