month,entity,division,4000_EXTERNAL_REVENUE,4100_IC_REVENUE,5000_EXTERNAL_COGS,5050_SERVICE_DELIVERY,5200_FACTORY_COST,5300_VARIABLE_SELLING,5400_FIXED_PRODUCTION,5450_FACTORY_ABSORPTION_VARIANCE,6000_OPEX,6100_DEPRECIATION,7000_INTEREST,7100_TAX,external_revenue,intercompany_revenue,revenue,cogs,gross_profit,ebit,ebt,net_income,inventory_provision_expense,credit_loss_expense
2023-09,ES01,Events,-1316316.14,0.0,0.0,556948.09,0.0,91268.42,69378.8,0.0,173295.87,0.0,0.0,0.0,1316316.14,-0.0,1316316.14,626326.89,689989.2499999999,423276.84999999986,423276.84999999986,423276.84999999986,0.0,2148.11
2023-09,ES01,Hardware,-4177821.41,0.0,3054819.3,0.0,0.0,233921.0,0.0,0.0,355228.32,0.0,0.0,0.0,4177821.41,-0.0,4177821.41,3062493.3899999997,1115328.0200000003,519766.7100000003,519766.7100000003,519766.7100000003,7674.09,6411.99
2023-09,ES01,Spare Parts,-1818787.99,0.0,1007910.78,0.0,0.0,139330.32,0.0,0.0,166193.26,0.0,0.0,0.0,1818787.99,-0.0,1818787.99,1013814.13,804973.86,496019.92999999993,496019.92999999993,496019.92999999993,5903.35,3430.35
2023-09,JP01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7500.0,308488.59,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-70000.0,-378488.59,0.0,0.0
2023-09,JP01,Hardware,-3066278.65,0.0,2130308.1,0.0,0.0,176071.49,0.0,0.0,325672.18,0.0,0.0,0.0,3066278.65,-0.0,3066278.65,2135634.73,930643.9199999998,422871.14999999985,422871.14999999985,422871.14999999985,5326.63,6029.1
2023-09,JP01,Software,-514024.04,0.0,0.0,100795.73,0.0,18313.75,23121.4,0.0,85767.13,0.0,0.0,0.0,514024.04,-0.0,514024.04,123917.13,390106.91,285115.47,285115.47,285115.47,0.0,910.56
2023-09,JP01,Spare Parts,-2500466.11,0.0,1386765.85,0.0,0.0,191046.12,0.0,0.0,287537.96,0.0,0.0,0.0,2500466.11,-0.0,2500466.11,1395043.1,1105423.0099999998,622381.7299999997,622381.7299999997,622381.7299999997,8277.25,4457.2
2023-09,US01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7500.0,210024.69,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-70000.0,-280024.69,0.0,0.0
2023-09,US01,Events,-1134485.99,0.0,0.0,591720.01,0.0,75292.08,62726.7,0.0,237633.12,0.0,0.0,0.0,1134485.99,-0.0,1134485.99,654446.71,480039.28,165066.72000000003,165066.72000000003,165066.72000000003,0.0,2047.36
2023-09,US01,Hardware,-5544713.91,0.0,4109951.72,0.0,0.0,310563.84,0.0,0.0,745519.46,0.0,0.0,0.0,5544713.91,-0.0,5544713.91,4120306.25,1424407.66,358599.8099999999,358599.8099999999,358599.8099999999,10354.53,9724.55
2023-09,US01,Software,-772195.58,0.0,0.0,149815.83,0.0,27578.93,34631.8,0.0,160859.06,0.0,0.0,0.0,772195.58,-0.0,772195.58,184447.63,587747.95,397990.3599999999,397990.3599999999,397990.3599999999,0.0,1319.6
2023-10,CN01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,51843.75,17546.75,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-287954.86,-305501.61,0.0,0.0
2023-10,CN01,Hardware,0.0,-6086912.609999999,0.0,0.0,5636030.19,0.0,0.0,203728.67,0.0,0.0,0.0,0.0,-0.0,6086912.609999999,6086912.609999999,5839758.86,247153.74999999907,247153.74999999907,247153.74999999907,247153.74999999907,0.0,0.0
2023-10,CN01,Spare Parts,0.0,-1537819.5499999998,0.0,0.0,1423906.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1537819.5499999998,1537819.5499999998,1423906.99,113912.55999999982,113912.55999999982,113912.55999999982,113912.55999999982,0.0,0.0
2023-10,CZ01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,51843.75,111198.66,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-287954.86,-399153.52,0.0,0.0
2023-10,CZ01,Hardware,0.0,-8065685.04,0.0,0.0,7468226.89,0.0,0.0,-63517.02,0.0,0.0,0.0,0.0,-0.0,8065685.04,8065685.04,7404709.87,660975.1699999999,660975.1699999999,660975.1699999999,660975.1699999999,0.0,0.0
2023-10,CZ01,Spare Parts,0.0,-1219150.29,0.0,0.0,1128842.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1219150.29,1219150.29,1128842.86,90307.42999999993,90307.42999999993,90307.42999999993,90307.42999999993,0.0,0.0
2023-10,DE01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,29625.0,185372.41,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-92125.0,-277497.41000000003,0.0,0.0
2023-10,DE01,Hardware,-4954829.09,0.0,3625283.68,0.0,0.0,276787.89,0.0,0.0,536266.07,0.0,0.0,0.0,4954829.09,-0.0,4954829.09,3626203.5,1328625.5899999996,508234.2899999996,508234.2899999996,508234.2899999996,919.82,7337.34
2023-10,DE01,Software,-630144.66,0.0,0.0,122502.64,0.0,22445.92,28312.73,0.0,108864.84,0.0,0.0,0.0,630144.66,-0.0,630144.66,150815.37,479329.29000000004,348122.79000000004,348122.79000000004,348122.79000000004,0.0,-104.26
2023-10,ES01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7406.25,557534.65,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69906.25,-627440.9,0.0,0.0
2023-10,ES01,Events,-4293327.25,0.0,0.0,2162936.62,0.0,278822.11,240927.72,0.0,307412.52,0.0,0.0,0.0,4293327.25,-0.0,4293327.25,2403864.3400000003,1889462.9099999997,1296643.88,1296643.88,1296643.88,0.0,6584.4
2023-10,ES01,Hardware,-4482148.19,0.0,3302242.46,0.0,0.0,250425.93,0.0,0.0,364637.75,0.0,0.0,0.0,4482148.19,-0.0,4482148.19,3303418.73,1178729.4600000004,557422.7600000005,557422.7600000005,557422.7600000005,1176.27,6243.02
2023-10,ES01,Spare Parts,-1870768.84,0.0,1034634.55,0.0,0.0,143333.02,0.0,0.0,167904.2,0.0,0.0,0.0,1870768.84,-0.0,1870768.84,1035117.65,835651.1900000001,521881.6400000001,521881.6400000001,521881.6400000001,483.1,2532.33
2023-10,JP01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7406.25,327137.72,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69906.25,-397043.97,0.0,0.0
2023-10,JP01,Hardware,-3117271.08,0.0,2155984.0,0.0,0.0,178804.6,0.0,0.0,327365.48,0.0,0.0,0.0,3117271.08,-0.0,3117271.08,2156073.01,961198.0700000001,449701.3700000001,449701.3700000001,449701.3700000001,89.01,5326.62
2023-10,JP01,Software,-530064.45,0.0,0.0,102662.13,0.0,18874.03,23856.4,0.0,86687.58,0.0,0.0,0.0,530064.45,-0.0,530064.45,126518.53,403545.9199999999,298073.4899999999,298073.4899999999,298073.4899999999,0.0,-89.18
2023-10,JP01,Spare Parts,-2622171.8,0.0,1450615.4,0.0,0.0,200318.28,0.0,0.0,291359.38,0.0,0.0,0.0,2622171.8,-0.0,2622171.8,1451977.5899999999,1170194.21,675007.5099999999,675007.5099999999,675007.5099999999,1362.19,3509.04
2023-10,US01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7406.25,236875.49,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69906.25,-306781.74,0.0,0.0
2023-10,US01,Events,-1415611.68,0.0,0.0,753208.39,0.0,96542.72,76072.59,0.0,250357.36000000002,0.0,0.0,0.0,1415611.68,-0.0,1415611.68,829280.98,586330.7,237799.17999999996,237799.17999999996,237799.17999999996,0.0,1631.44
2023-10,US01,Hardware,-5557029.29,0.0,4088481.94,0.0,0.0,311565.28,0.0,0.0,746084.01,0.0,0.0,0.0,5557029.29,-0.0,5557029.29,4088314.13,1468715.1600000001,402652.74000000005,402652.74000000005,402652.74000000005,-167.81,8413.13
2023-10,US01,Software,-781674.79,0.0,0.0,150724.69,0.0,27932.61,35041.53,0.0,161417.21,0.0,0.0,0.0,781674.79,-0.0,781674.79,185766.22,595908.5700000001,406753.9700000001,406753.9700000001,406753.9700000001,0.0,-195.22
2023-11,CN01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,51843.75,36519.1,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-287954.86,-324473.95999999996,0.0,0.0
2023-11,CN01,Hardware,0.0,-6509834.45,0.0,0.0,6027624.4799999995,0.0,0.0,160231.72,0.0,0.0,0.0,0.0,-0.0,6509834.45,6509834.45,6187856.199999999,321978.25000000093,321978.25000000093,321978.25000000093,321978.25000000093,0.0,0.0
2023-11,CN01,Spare Parts,0.0,-1594883.45,0.0,0.0,1476743.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1594883.45,1594883.45,1476743.94,118139.51000000001,118139.51000000001,118139.51000000001,118139.51000000001,0.0,0.0
2023-11,CZ01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,51843.75,116883.01,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-287954.86,-404837.87,0.0,0.0
2023-11,CZ01,Hardware,0.0,-8071406.43,0.0,0.0,7473524.4799999995,0.0,0.0,-81446.45,0.0,0.0,0.0,0.0,-0.0,8071406.43,8071406.43,7392078.029999999,679328.4000000004,679328.4000000004,679328.4000000004,679328.4000000004,0.0,0.0
2023-11,CZ01,Spare Parts,0.0,-1291126.58,0.0,0.0,1195487.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1291126.58,1291126.58,1195487.57,95639.01000000001,95639.01000000001,95639.01000000001,95639.01000000001,0.0,0.0
2023-11,DE01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,29625.0,202184.64,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-92125.0,-294309.64,0.0,0.0
2023-11,DE01,Hardware,-5113174.92,0.0,3694551.87,0.0,0.0,285048.77,0.0,0.0,547063.88,0.0,0.0,0.0,5113174.92,-0.0,5113174.92,3695019.0,1418155.92,582167.3399999997,582167.3399999997,582167.3399999997,467.13,3875.93
2023-11,DE01,Software,-622789.77,0.0,0.0,115617.98,0.0,22194.19,27973.59,0.0,108953.41,0.0,0.0,0.0,622789.77,-0.0,622789.77,143591.57,479198.2,348053.29,348053.29,348053.29,0.0,-2.69
2023-11,ES01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7406.25,545283.58,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69906.25,-615189.83,0.0,0.0
2023-11,ES01,Events,-3912057.6799999997,0.0,0.0,1904969.2,0.0,259130.03,214046.55,0.0,407581.61,0.0,0.0,0.0,3912057.6799999997,-0.0,3912057.6799999997,2119015.75,1793041.9299999997,1126834.9799999995,1126834.9799999995,1126834.9799999995,0.0,-504.69
2023-11,ES01,Hardware,-4684820.7299999995,0.0,3403595.22,0.0,0.0,260718.83,0.0,0.0,378361.03,0.0,0.0,0.0,4684820.7299999995,-0.0,4684820.7299999995,3404285.04,1280535.6899999992,640906.1599999993,640906.1599999993,640906.1599999993,689.82,549.67
2023-11,ES01,Spare Parts,-1983545.94,0.0,1085176.78,0.0,0.0,152003.92,0.0,0.0,172920.12,0.0,0.0,0.0,1983545.94,-0.0,1983545.94,1086518.16,897027.7799999999,571750.7699999999,571750.7699999999,571750.7699999999,1341.38,352.97
2023-11,JP01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7406.25,359561.08,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69906.25,-429467.33,0.0,0.0
2023-11,JP01,Hardware,-3345331.27,0.0,2276874.48,0.0,0.0,191896.28,0.0,0.0,335863.88,0.0,0.0,0.0,3345331.27,-0.0,3345331.27,2277943.06,1067388.21,538830.3,538830.3,538830.3,1068.58,797.75
2023-11,JP01,Software,-521733.52,0.0,0.0,96331.81999999999,0.0,18589.28,23471.8,0.0,86922.27,0.0,0.0,0.0,521733.52,-0.0,521733.52,119803.62,401929.9,296459.1,296459.1,296459.1,0.0,-40.75
2023-11,JP01,Spare Parts,-2739471.05,0.0,1500263.37,0.0,0.0,209272.38,0.0,0.0,298972.96,0.0,0.0,0.0,2739471.05,-0.0,2739471.05,1501376.7300000002,1238094.3199999996,729484.5599999996,729484.5599999996,729484.5599999996,1113.36,364.42
2023-11,US01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7406.25,302879.96,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69906.25,-372786.21,0.0,0.0
2023-11,US01,Events,-1561234.8099999998,0.0,0.0,723026.39,0.0,105599.87,84106.31999999999,0.0,271197.5,0.0,0.0,0.0,1561234.8099999998,-0.0,1561234.8099999998,807132.71,754102.0999999999,377027.0699999999,377027.0699999999,377027.0699999999,0.0,277.66
2023-11,US01,Hardware,-5809270.11,0.0,4199613.32,0.0,0.0,325749.52,0.0,0.0,754637.02,0.0,0.0,0.0,5809270.11,-0.0,5809270.11,4200691.61,1608578.5,527481.1499999999,527481.1499999999,527481.1499999999,1078.29,710.81
2023-11,US01,Software,-799161.32,0.0,0.0,146517.03,0.0,28524.89,35863.56,0.0,162924.72,0.0,0.0,0.0,799161.32,-0.0,799161.32,182380.59,616780.73,425301.21,425301.21,425301.21,0.0,29.91
2023-12,CN01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,51843.75,52516.65,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-287954.86,-340471.51,0.0,0.0
2023-12,CN01,Hardware,0.0,-6714434.5600000005,0.0,0.0,6217069.03,0.0,0.0,122318.38,0.0,0.0,0.0,0.0,-0.0,6714434.5600000005,6714434.5600000005,6339387.41,375047.1500000004,375047.1500000004,375047.1500000004,375047.1500000004,0.0,0.0
2023-12,CN01,Spare Parts,0.0,-1778315.59,0.0,0.0,1646588.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1778315.59,1778315.59,1646588.51,131727.08000000007,131727.08000000007,131727.08000000007,131727.08000000007,0.0,0.0
2023-12,CZ01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,51843.75,163513.7,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-287954.86,-451468.56,0.0,0.0
2023-12,CZ01,Hardware,0.0,-9308579.8,0.0,0.0,8619055.37,0.0,0.0,-181423.17,0.0,0.0,0.0,0.0,-0.0,9308579.8,9308579.8,8437632.2,870947.6000000015,870947.6000000015,870947.6000000015,870947.6000000015,0.0,0.0
2023-12,CZ01,Spare Parts,0.0,-1327243.75,0.0,0.0,1228929.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1327243.75,1327243.75,1228929.4,98314.3500000001,98314.3500000001,98314.3500000001,98314.3500000001,0.0,0.0
2023-12,DE01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,29625.0,230141.21,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-92125.0,-322266.20999999996,0.0,0.0
2023-12,DE01,Hardware,-5380549.88,0.0,3830748.7800000003,0.0,0.0,300401.21,0.0,0.0,561898.1799999999,0.0,0.0,0.0,5380549.88,-0.0,5380549.88,3831413.37,1549136.5099999995,685979.5699999997,685979.5699999997,685979.5699999997,664.59,857.55
2023-12,DE01,Software,-639506.3,0.0,0.0,114417.2,0.0,22813.82,28700.16,0.0,110030.13,0.0,0.0,0.0,639506.3,-0.0,639506.3,143117.36,496388.94000000006,363501.23000000004,363501.23000000004,363501.23000000004,0.0,43.76
2023-12,ES01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7406.25,476960.04,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69906.25,-546866.29,0.0,0.0
2023-12,ES01,Events,-2813007.98,0.0,0.0,1363450.37,0.0,189911.08000000002,152039.66,0.0,394189.94,0.0,0.0,0.0,2813007.98,-0.0,2813007.98,1515490.03,1297517.95,716483.0199999999,716483.0199999999,716483.0199999999,0.0,-3066.09
2023-12,ES01,Hardware,-5139486.79,0.0,3724246.02,0.0,0.0,285259.67,0.0,0.0,398642.6,0.0,0.0,0.0,5139486.79,-0.0,5139486.79,3726087.11,1413399.68,728261.0300000001,728261.0300000001,728261.0300000001,1841.09,1236.38
2023-12,ES01,Spare Parts,-2078383.52,0.0,1127963.16,0.0,0.0,159313.41,0.0,0.0,178622.65,0.0,0.0,0.0,2078383.52,-0.0,2078383.52,1128296.96,950086.56,611847.89,611847.89,611847.89,333.8,302.61
2023-12,JP01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7406.25,390322.51,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69906.25,-460228.76,0.0,0.0
2023-12,JP01,Hardware,-3444064.3200000003,0.0,2320305.14,0.0,0.0,197215.46,0.0,0.0,344036.57,0.0,0.0,0.0,3444064.3200000003,-0.0,3444064.3200000003,2320037.6100000003,1124026.7100000002,582360.0200000001,582360.0200000001,582360.0200000001,-267.53,414.66
2023-12,JP01,Software,-535156.85,0.0,0.0,96119.57,0.0,19059.54,24083.31,0.0,87887.1,0.0,0.0,0.0,535156.85,-0.0,535156.85,120202.88,414953.97,307963.30999999994,307963.30999999994,307963.30999999994,0.0,44.02
2023-12,JP01,Spare Parts,-2926341.82,0.0,1587506.61,0.0,0.0,223721.75,0.0,0.0,309377.8,0.0,0.0,0.0,2926341.82,-0.0,2926341.82,1588751.33,1337590.4899999998,803933.1699999997,803933.1699999997,803933.1699999997,1244.72,557.77
2023-12,US01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7406.25,432467.78,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69906.25,-502374.03,0.0,0.0
2023-12,US01,Events,-2918916.39,0.0,0.0,1420413.76,0.0,193300.95,160217.19,0.0,347147.12,0.0,0.0,0.0,2918916.39,-0.0,2918916.39,1580630.95,1338285.4400000002,794882.5200000003,794882.5200000003,794882.5200000003,0.0,2954.85
2023-12,US01,Hardware,-6153418.2,0.0,4398871.55,0.0,0.0,344859.66,0.0,0.0,771216.6599999999,0.0,0.0,0.0,6153418.2,-0.0,6153418.2,4400433.17,1752985.0300000003,635789.7500000006,635789.7500000006,635789.7500000006,1561.62,1118.96
2023-12,US01,Software,-808740.33,0.0,0.0,143598.41,0.0,28887.579999999998,36263.26,0.0,164443.54,0.0,0.0,0.0,808740.33,-0.0,808740.33,179861.67,628878.6599999999,435543.5399999999,435543.5399999999,435543.5399999999,0.0,4.0
2024-01,CN01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,51195.7,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-287306.81,-287306.81,0.0,0.0
2024-01,CN01,Hardware,0.0,-445553.29,0.0,0.0,412549.33999999997,0.0,0.0,725404.16,0.0,0.0,0.0,0.0,-0.0,445553.29,445553.29,1137953.5,-692400.21,-692400.21,-692400.21,-692400.21,0.0,0.0
2024-01,CZ01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,51195.7,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-287306.81,-287306.81,0.0,0.0
2024-01,CZ01,Hardware,0.0,-363982.28,0.0,0.0,337020.63,0.0,0.0,592095.94,0.0,0.0,0.0,0.0,-0.0,363982.28,363982.28,929116.57,-565134.2899999999,-565134.2899999999,-565134.2899999999,-565134.2899999999,0.0,0.0
2024-01,DE01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,29254.69,168747.83,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-91754.69,-260502.52,0.0,0.0
2024-01,DE01,Hardware,-3973722.08,0.0,2787128.33,0.0,0.0,223488.3,0.0,0.0,533815.28,0.0,0.0,0.0,3973722.08,-0.0,3973722.08,2778303.11,1195418.97,441564.9399999999,441564.9399999999,441564.9399999999,-8825.22,-3449.55
2024-01,DE01,Software,-646583.45,0.0,0.0,117841.23,0.0,23070.94,29002.2,0.0,111088.55,0.0,0.0,0.0,646583.45,-0.0,646583.45,146843.43,499740.01999999996,365570.41,365570.41,365570.41,0.0,10.12
2024-01,ES01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7313.67,317852.12,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69813.67,-387665.79,0.0,0.0
2024-01,ES01,Events,-2621625.82,0.0,0.0,1407575.05,0.0,168599.84,148179.1,0.0,429967.0,0.0,0.0,0.0,2621625.82,-0.0,2621625.82,1555754.1500000001,1065871.6699999997,468042.9999999997,468042.9999999997,468042.9999999997,0.0,-738.17
2024-01,ES01,Hardware,-3548860.42,0.0,2476334.71,0.0,0.0,200243.29,0.0,0.0,367446.9,0.0,0.0,0.0,3548860.42,-0.0,3548860.42,2468370.89,1080489.53,517082.61999999994,517082.61999999994,517082.61999999994,-7963.82,-4283.28
2024-01,ES01,Spare Parts,-1549810.08,0.0,841003.81,0.0,0.0,118755.69,0.0,0.0,167993.41,0.0,0.0,0.0,1549810.08,-0.0,1549810.08,835106.93,714703.15,429582.47000000003,429582.47000000003,429582.47000000003,-5896.88,-1628.42
2024-01,JP01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7313.67,240637.47,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69813.67,-310451.14,0.0,0.0
2024-01,JP01,Hardware,-1948893.27,0.0,1276320.54,0.0,0.0,113376.43,0.0,0.0,307536.05,0.0,0.0,0.0,1948893.27,-0.0,1948893.27,1273629.85,675263.4199999999,259785.04000000007,259785.04000000007,259785.04000000007,-2690.69,-5434.1
2024-01,JP01,Software,-524341.12,0.0,0.0,96074.83,0.0,18685.08,23584.76,0.0,87996.22,0.0,0.0,0.0,524341.12,-0.0,524341.12,119659.59,404681.53,298042.3,298042.3,298042.3,0.0,-42.07
2024-01,JP01,Spare Parts,-2152080.62,0.0,1168263.73,0.0,0.0,164514.74,0.0,0.0,296492.99,0.0,0.0,0.0,2152080.62,-0.0,2152080.62,1159508.09,992572.5300000001,533834.2900000002,533834.2900000002,533834.2900000002,-8755.64,-2269.49
2024-01,US01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7313.67,338543.68,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-69813.67,-408357.35,0.0,0.0
2024-01,US01,Events,-3553190.84,0.0,0.0,1955410.24,0.0,222719.37,205402.51,0.0,441313.80999999994,0.0,0.0,0.0,3553190.84,-0.0,3553190.84,2160812.75,1392378.0899999999,727467.4599999998,727467.4599999998,727467.4599999998,0.0,877.45
2024-01,US01,Hardware,-4643625.97,0.0,3322467.84,0.0,0.0,259798.07,0.0,0.0,741452.11,0.0,0.0,0.0,4643625.97,-0.0,4643625.97,3312873.21,1330752.7599999998,334168.9399999998,334168.9399999998,334168.9399999998,-9594.63,-4666.36
2024-01,US01,Software,-812297.76,0.0,0.0,148437.04,0.0,28986.27,36467.44,0.0,166247.52000000002,0.0,0.0,0.0,812297.76,-0.0,812297.76,184904.48,627393.28,432160.24,432160.24,432160.24,0.0,-0.75
2024-02,CN01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,51195.7,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-287306.81,-287306.81,0.0,0.0
2024-02,CN01,Hardware,0.0,-4344238.23,0.0,0.0,4022442.81,0.0,0.0,329864.31,0.0,0.0,0.0,0.0,-0.0,4344238.23,4344238.23,4352307.12,-8068.889999999665,-8068.889999999665,-8068.889999999665,-8068.889999999665,0.0,0.0
2024-02,CN01,Spare Parts,0.0,-1416645.72,0.0,0.0,1311709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1416645.72,1416645.72,1311709.0,104936.71999999997,104936.71999999997,104936.71999999997,104936.71999999997,0.0,0.0
