document_id,issue_month,settlement_month,entity,division,counterparty,document_type,source_account,functional_currency,transaction_currency,original_reporting_eur,transaction_amount,issue_transaction_fx_to_eur,issue_functional_fx_to_eur,original_functional_amount,payment_terms_months,source_journal_id,contract_id
FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-AUT-RPA-P-1100_AR,2023-10,2023-12,DE01,Software,C001,Receivable,1100_AR,EUR,JPY,697.54,110237.6363,0.0063276030176914,1.0,697.54,2,CONTRACT-APPLY-2023-10-DE01-C001-SW-AUT-RPA-P,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-AUT-RPA-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-PLT-API-X-1100_AR,2023-10,2023-11,DE01,Software,C001,Receivable,1100_AR,EUR,CZK,1612.56,39643.7614,0.0406762613338856,1.0,1612.56,1,CONTRACT-APPLY-2023-10-DE01-C001-SW-PLT-API-X,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-PLT-API-X-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-SEC-IAM-P-1100_AR,2023-10,2023-11,DE01,Software,C001,Receivable,1100_AR,EUR,JPY,772.63,122104.6892,0.0063276030176914,1.0,772.63,1,CONTRACT-APPLY-2023-10-DE01-C001-SW-SEC-IAM-P,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-SEC-IAM-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-ANL-BI-P-1100_AR,2023-10,2023-12,DE01,Software,C002,Receivable,1100_AR,EUR,USD,1396.16,1474.7003,0.94674148793339,1.0,1396.16,2,CONTRACT-APPLY-2023-10-DE01-C002-SW-ANL-BI-P,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-ANL-BI-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-E-1100_AR,2023-10,2023-11,DE01,Software,C002,Receivable,1100_AR,EUR,USD,1063.07,1122.8725,0.94674148793339,1.0,1063.07,1,CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-E,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-E-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-P-1100_AR,2023-10,2023-12,DE01,Software,C002,Receivable,1100_AR,EUR,CZK,1427.82,35102.0461,0.0406762613338856,1.0,1427.82,2,CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-P,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-ORC-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-RPA-P-1100_AR,2023-10,2023-12,DE01,Software,C002,Receivable,1100_AR,EUR,USD,1530.86,1616.9778,0.94674148793339,1.0,1530.86,2,CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-RPA-P,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-AUT-RPA-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-PLT-API-P-1100_AR,2023-10,2023-12,DE01,Software,C002,Receivable,1100_AR,EUR,JPY,1771.6,279979.6376,0.0063276030176914,1.0,1771.6,2,CONTRACT-APPLY-2023-10-DE01-C002-SW-PLT-API-P,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-PLT-API-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-SEC-PAM-P-1100_AR,2023-10,2023-12,DE01,Software,C002,Receivable,1100_AR,EUR,CNY,1802.41,13914.597,0.1295337550245841,1.0,1802.41,2,CONTRACT-APPLY-2023-10-DE01-C002-SW-SEC-PAM-P,FX-CONTRACT-APPLY-2023-10-DE01-C002-SW-SEC-PAM-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-AUT-MON-P-1100_AR,2023-10,2023-11,DE01,Software,C003,Receivable,1100_AR,EUR,CNY,791.44,6109.9132,0.1295337550245841,1.0,791.44,1,CONTRACT-APPLY-2023-10-DE01-C003-SW-AUT-MON-P,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-AUT-MON-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-AUT-RPA-E-1100_AR,2023-10,2023-11,DE01,Software,C003,Receivable,1100_AR,EUR,USD,653.96,690.7482,0.94674148793339,1.0,653.96,1,CONTRACT-APPLY-2023-10-DE01-C003-SW-AUT-RPA-E,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-AUT-RPA-E-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-P-1100_AR,2023-10,2023-12,DE01,Software,C003,Receivable,1100_AR,EUR,CZK,1341.19,32972.3027,0.0406762613338856,1.0,1341.19,2,CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-P,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-X-1100_AR,2023-10,2023-12,DE01,Software,C003,Receivable,1100_AR,EUR,CNY,1325.58,10233.4716,0.1295337550245841,1.0,1325.58,2,CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-X,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-CORE-X-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-WF-P-1100_AR,2023-10,2023-11,DE01,Software,C003,Receivable,1100_AR,EUR,CNY,1437.98,11101.1991,0.1295337550245841,1.0,1437.98,1,CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-WF-P,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-PLT-WF-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-SEC-PAM-P-1100_AR,2023-10,2023-11,DE01,Software,C003,Receivable,1100_AR,EUR,USD,828.38,874.9801,0.94674148793339,1.0,828.38,1,CONTRACT-APPLY-2023-10-DE01-C003-SW-SEC-PAM-P,FX-CONTRACT-APPLY-2023-10-DE01-C003-SW-SEC-PAM-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-ANL-FIN-P-1100_AR,2023-10,2023-12,DE01,Software,C004,Receivable,1100_AR,EUR,CNY,4390.3,33893.096,0.1295337550245841,1.0,4390.3,2,CONTRACT-APPLY-2023-10-DE01-C004-SW-ANL-FIN-P,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-ANL-FIN-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-AUT-ORC-X-1100_AR,2023-10,2023-11,DE01,Software,C004,Receivable,1100_AR,EUR,CZK,4711.78,115836.1129,0.0406762613338856,1.0,4711.78,1,CONTRACT-APPLY-2023-10-DE01-C004-SW-AUT-ORC-X,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-AUT-ORC-X-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-IAM-E-1100_AR,2023-10,2023-12,DE01,Software,C004,Receivable,1100_AR,EUR,JPY,3139.07,496091.4886,0.0063276030176914,1.0,3139.07,2,CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-IAM-E,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-IAM-E-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-KMS-P-1100_AR,2023-10,2023-11,DE01,Software,C004,Receivable,1100_AR,EUR,JPY,4469.25,706310.1126,0.0063276030176914,1.0,4469.25,1,CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-KMS-P,FX-CONTRACT-APPLY-2023-10-DE01-C004-SW-SEC-KMS-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-ANL-OPS-P-1100_AR,2023-10,2023-12,DE01,Software,C005,Receivable,1100_AR,EUR,JPY,1698.42,268414.4368,0.0063276030176914,1.0,1698.42,2,CONTRACT-APPLY-2023-10-DE01-C005-SW-ANL-OPS-P,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-ANL-OPS-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-AUT-INT-X-1100_AR,2023-10,2023-11,DE01,Software,C005,Receivable,1100_AR,EUR,USD,1582.8,1671.8397,0.94674148793339,1.0,1582.8,1,CONTRACT-APPLY-2023-10-DE01-C005-SW-AUT-INT-X,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-AUT-INT-X-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-AUT-ORC-E-1100_AR,2023-10,2023-11,DE01,Software,C005,Receivable,1100_AR,EUR,JPY,1063.07,168005.1667,0.0063276030176914,1.0,1063.07,1,CONTRACT-APPLY-2023-10-DE01-C005-SW-AUT-ORC-E,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-AUT-ORC-E-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-SEC-PAM-E-1100_AR,2023-10,2023-12,DE01,Software,C005,Receivable,1100_AR,EUR,CZK,1341.98,32991.7243,0.0406762613338856,1.0,1341.98,2,CONTRACT-APPLY-2023-10-DE01-C005-SW-SEC-PAM-E,FX-CONTRACT-APPLY-2023-10-DE01-C005-SW-SEC-PAM-E-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C006-SW-AUT-INT-E-1100_AR,2023-10,2023-12,DE01,Software,C006,Receivable,1100_AR,EUR,JPY,1216.51,192254.4756,0.0063276030176914,1.0,1216.51,2,CONTRACT-APPLY-2023-10-DE01-C006-SW-AUT-INT-E,FX-CONTRACT-APPLY-2023-10-DE01-C006-SW-AUT-INT-E-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C006-SW-AUT-ORC-E-1100_AR,2023-10,2023-11,DE01,Software,C006,Receivable,1100_AR,EUR,JPY,1417.43,224007.4158,0.0063276030176914,1.0,1417.43,1,CONTRACT-APPLY-2023-10-DE01-C006-SW-AUT-ORC-E,FX-CONTRACT-APPLY-2023-10-DE01-C006-SW-AUT-ORC-E-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C006-SW-SEC-PAM-P-1100_AR,2023-10,2023-12,DE01,Software,C006,Receivable,1100_AR,EUR,CNY,1802.41,13914.597,0.1295337550245841,1.0,1802.41,2,CONTRACT-APPLY-2023-10-DE01-C006-SW-SEC-PAM-P,FX-CONTRACT-APPLY-2023-10-DE01-C006-SW-SEC-PAM-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C007-SW-AUT-MON-E-1100_AR,2023-10,2023-11,DE01,Software,C007,Receivable,1100_AR,EUR,USD,862.15,910.6499,0.94674148793339,1.0,862.15,1,CONTRACT-APPLY-2023-10-DE01-C007-SW-AUT-MON-E,FX-CONTRACT-APPLY-2023-10-DE01-C007-SW-AUT-MON-E-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C007-SW-PLT-EDGE-E-1100_AR,2023-10,2023-12,DE01,Software,C007,Receivable,1100_AR,EUR,USD,1240.79,1310.5901,0.94674148793339,1.0,1240.79,2,CONTRACT-APPLY-2023-10-DE01-C007-SW-PLT-EDGE-E,FX-CONTRACT-APPLY-2023-10-DE01-C007-SW-PLT-EDGE-E-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C007-SW-PLT-EDGE-P-1100_AR,2023-10,2023-12,DE01,Software,C007,Receivable,1100_AR,EUR,CZK,1666.51,40970.0878,0.0406762613338856,1.0,1666.51,2,CONTRACT-APPLY-2023-10-DE01-C007-SW-PLT-EDGE-P,FX-CONTRACT-APPLY-2023-10-DE01-C007-SW-PLT-EDGE-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C007-SW-SEC-KMS-P-1100_AR,2023-10,2023-11,DE01,Software,C007,Receivable,1100_AR,EUR,CNY,1923.72,14851.1097,0.1295337550245841,1.0,1923.72,1,CONTRACT-APPLY-2023-10-DE01-C007-SW-SEC-KMS-P,FX-CONTRACT-APPLY-2023-10-DE01-C007-SW-SEC-KMS-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C007-SW-SEC-PAM-E-1100_AR,2023-10,2023-12,DE01,Software,C007,Receivable,1100_AR,EUR,CNY,894.65,6906.6939,0.1295337550245841,1.0,894.65,2,CONTRACT-APPLY-2023-10-DE01-C007-SW-SEC-PAM-E,FX-CONTRACT-APPLY-2023-10-DE01-C007-SW-SEC-PAM-E-1100_AR
FX-CONTRACT-APPLY-2023-10-ES01-C023-EV-DEP-LCH-E-1100_AR,2023-10,2023-12,ES01,Events,C023,Receivable,1100_AR,EUR,USD,39380.27,41595.5892,0.94674148793339,1.0,39380.27,2,CONTRACT-APPLY-2023-10-ES01-C023-EV-DEP-LCH-E,FX-CONTRACT-APPLY-2023-10-ES01-C023-EV-DEP-LCH-E-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C053-SW-AUT-MON-P-1100_AR,2023-10,2023-12,JP01,Software,C053,Receivable,1100_AR,JPY,EUR,868.47,868.47,1.0,0.0063276030176914,137251.03,2,CONTRACT-APPLY-2023-10-JP01-C053-SW-AUT-MON-P,FX-CONTRACT-APPLY-2023-10-JP01-C053-SW-AUT-MON-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C053-SW-PLT-CORE-E-1100_AR,2023-10,2023-12,JP01,Software,C053,Receivable,1100_AR,JPY,USD,1084.29,1145.2862,0.94674148793339,0.0063276030176914,171358.73,2,CONTRACT-APPLY-2023-10-JP01-C053-SW-PLT-CORE-E,FX-CONTRACT-APPLY-2023-10-JP01-C053-SW-PLT-CORE-E-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C054-SW-ANL-PRD-P-1100_AR,2023-10,2023-12,JP01,Software,C054,Receivable,1100_AR,JPY,CZK,1597.67,39277.7003,0.0406762613338856,0.0063276030176914,252492.14,2,CONTRACT-APPLY-2023-10-JP01-C054-SW-ANL-PRD-P,FX-CONTRACT-APPLY-2023-10-JP01-C054-SW-ANL-PRD-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C054-SW-AUT-MON-E-1100_AR,2023-10,2023-12,JP01,Software,C054,Receivable,1100_AR,JPY,EUR,862.15,862.15,1.0,0.0063276030176914,136252.23,2,CONTRACT-APPLY-2023-10-JP01-C054-SW-AUT-MON-E,FX-CONTRACT-APPLY-2023-10-JP01-C054-SW-AUT-MON-E-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C054-SW-SEC-IAM-X-1100_AR,2023-10,2023-12,JP01,Software,C054,Receivable,1100_AR,JPY,CZK,1628.52,40036.1279,0.0406762613338856,0.0063276030176914,257367.6,2,CONTRACT-APPLY-2023-10-JP01-C054-SW-SEC-IAM-X,FX-CONTRACT-APPLY-2023-10-JP01-C054-SW-SEC-IAM-X-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C055-SW-AUT-INT-E-1100_AR,2023-10,2023-12,JP01,Software,C055,Receivable,1100_AR,JPY,USD,1555.61,1643.1201,0.94674148793339,0.0063276030176914,245845.07,2,CONTRACT-APPLY-2023-10-JP01-C055-SW-AUT-INT-E,FX-CONTRACT-APPLY-2023-10-JP01-C055-SW-AUT-INT-E-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C055-SW-AUT-MON-X-1100_AR,2023-10,2023-12,JP01,Software,C055,Receivable,1100_AR,JPY,CNY,1910.61,14749.9005,0.1295337550245841,0.0063276030176914,301948.46,2,CONTRACT-APPLY-2023-10-JP01-C055-SW-AUT-MON-X,FX-CONTRACT-APPLY-2023-10-JP01-C055-SW-AUT-MON-X-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C056-SW-ANL-PRD-E-1100_AR,2023-10,2023-11,JP01,Software,C056,Receivable,1100_AR,JPY,CZK,1189.54,29244.0839,0.0406762613338856,0.0063276030176914,187992.2,1,CONTRACT-APPLY-2023-10-JP01-C056-SW-ANL-PRD-E,FX-CONTRACT-APPLY-2023-10-JP01-C056-SW-ANL-PRD-E-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C056-SW-AUT-RPA-P-1100_AR,2023-10,2023-12,JP01,Software,C056,Receivable,1100_AR,JPY,CZK,1530.86,37635.2189,0.0406762613338856,0.0063276030176914,241933.64,2,CONTRACT-APPLY-2023-10-JP01-C056-SW-AUT-RPA-P,FX-CONTRACT-APPLY-2023-10-JP01-C056-SW-AUT-RPA-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C056-SW-PLT-WF-P-1100_AR,2023-10,2023-12,JP01,Software,C056,Receivable,1100_AR,JPY,EUR,2342.11,2342.11,1.0,0.0063276030176914,370141.74,2,CONTRACT-APPLY-2023-10-JP01-C056-SW-PLT-WF-P,FX-CONTRACT-APPLY-2023-10-JP01-C056-SW-PLT-WF-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C056-SW-SEC-CMP-P-1100_AR,2023-10,2023-11,JP01,Software,C056,Receivable,1100_AR,JPY,CNY,2045.04,15787.6995,0.1295337550245841,0.0063276030176914,323193.47,1,CONTRACT-APPLY-2023-10-JP01-C056-SW-SEC-CMP-P,FX-CONTRACT-APPLY-2023-10-JP01-C056-SW-SEC-CMP-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C056-SW-SEC-IAM-E-1100_AR,2023-10,2023-11,JP01,Software,C056,Receivable,1100_AR,JPY,USD,1251.65,1322.061,0.94674148793339,0.0063276030176914,197807.92,1,CONTRACT-APPLY-2023-10-JP01-C056-SW-SEC-IAM-E,FX-CONTRACT-APPLY-2023-10-JP01-C056-SW-SEC-IAM-E-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C057-SW-ANL-OPS-E-1100_AR,2023-10,2023-12,JP01,Software,C057,Receivable,1100_AR,JPY,CZK,843.04,20725.6019,0.0406762613338856,0.0063276030176914,133232.13,2,CONTRACT-APPLY-2023-10-JP01-C057-SW-ANL-OPS-E,FX-CONTRACT-APPLY-2023-10-JP01-C057-SW-ANL-OPS-E-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C057-SW-AUT-MON-P-1100_AR,2023-10,2023-12,JP01,Software,C057,Receivable,1100_AR,JPY,CZK,1736.94,42701.5646,0.0406762613338856,0.0063276030176914,274502.05,2,CONTRACT-APPLY-2023-10-JP01-C057-SW-AUT-MON-P,FX-CONTRACT-APPLY-2023-10-JP01-C057-SW-AUT-MON-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C057-SW-AUT-RPA-P-1100_AR,2023-10,2023-12,JP01,Software,C057,Receivable,1100_AR,JPY,USD,1530.86,1616.9778,0.94674148793339,0.0063276030176914,241933.64,2,CONTRACT-APPLY-2023-10-JP01-C057-SW-AUT-RPA-P,FX-CONTRACT-APPLY-2023-10-JP01-C057-SW-AUT-RPA-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C057-SW-PLT-API-E-1100_AR,2023-10,2023-12,JP01,Software,C057,Receivable,1100_AR,JPY,CZK,1319.03,32427.5132,0.0406762613338856,0.0063276030176914,208456.5,2,CONTRACT-APPLY-2023-10-JP01-C057-SW-PLT-API-E,FX-CONTRACT-APPLY-2023-10-JP01-C057-SW-PLT-API-E-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C057-SW-PLT-CORE-X-1100_AR,2023-10,2023-12,JP01,Software,C057,Receivable,1100_AR,JPY,CZK,1410.77,34682.8827,0.0406762613338856,0.0063276030176914,222954.88,2,CONTRACT-APPLY-2023-10-JP01-C057-SW-PLT-CORE-X,FX-CONTRACT-APPLY-2023-10-JP01-C057-SW-PLT-CORE-X-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C058-SW-PLT-API-P-1100_AR,2023-10,2023-12,JP01,Software,C058,Receivable,1100_AR,JPY,CNY,1771.6,13676.7439,0.1295337550245841,0.0063276030176914,279979.64,2,CONTRACT-APPLY-2023-10-JP01-C058-SW-PLT-API-P,FX-CONTRACT-APPLY-2023-10-JP01-C058-SW-PLT-API-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C058-SW-PLT-WF-P-1100_AR,2023-10,2023-12,JP01,Software,C058,Receivable,1100_AR,JPY,USD,2342.11,2473.8643,0.94674148793339,0.0063276030176914,370141.74,2,CONTRACT-APPLY-2023-10-JP01-C058-SW-PLT-WF-P,FX-CONTRACT-APPLY-2023-10-JP01-C058-SW-PLT-WF-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C059-SW-AUT-MON-E-1100_AR,2023-10,2023-12,JP01,Software,C059,Receivable,1100_AR,JPY,CZK,371.0,9120.7989,0.0406762613338856,0.0063276030176914,58632.0,2,CONTRACT-APPLY-2023-10-JP01-C059-SW-AUT-MON-E,FX-CONTRACT-APPLY-2023-10-JP01-C059-SW-AUT-MON-E-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C059-SW-PLT-API-P-1100_AR,2023-10,2023-11,JP01,Software,C059,Receivable,1100_AR,JPY,CNY,815.77,6297.7407,0.1295337550245841,0.0063276030176914,128922.44,1,CONTRACT-APPLY-2023-10-JP01-C059-SW-PLT-API-P,FX-CONTRACT-APPLY-2023-10-JP01-C059-SW-PLT-API-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C059-SW-PLT-WF-P-1100_AR,2023-10,2023-11,JP01,Software,C059,Receivable,1100_AR,JPY,USD,718.99,759.4365,0.94674148793339,0.0063276030176914,113627.55,1,CONTRACT-APPLY-2023-10-JP01-C059-SW-PLT-WF-P,FX-CONTRACT-APPLY-2023-10-JP01-C059-SW-PLT-WF-P-1100_AR
FX-CONTRACT-APPLY-2023-10-JP01-C059-SW-SEC-IAM-X-1100_AR,2023-10,2023-12,JP01,Software,C059,Receivable,1100_AR,JPY,CNY,1528.0,11796.1531,0.1295337550245841,0.0063276030176914,241481.65,2,CONTRACT-APPLY-2023-10-JP01-C059-SW-SEC-IAM-X,FX-CONTRACT-APPLY-2023-10-JP01-C059-SW-SEC-IAM-X-1100_AR
FX-CONTRACT-APPLY-2023-10-US01-C034-SW-ANL-BI-E-1100_AR,2023-10,2023-12,US01,Software,C034,Receivable,1100_AR,USD,JPY,598.72,94620.3481,0.0063276030176914,0.94674148793339,632.4,2,CONTRACT-APPLY-2023-10-US01-C034-SW-ANL-BI-E,FX-CONTRACT-APPLY-2023-10-US01-C034-SW-ANL-BI-E-1100_AR
FX-CONTRACT-APPLY-2023-10-US01-C034-SW-ANL-FIN-X-1100_AR,2023-10,2023-12,US01,Software,C034,Receivable,1100_AR,USD,JPY,1354.2,214014.6903,0.0063276030176914,0.94674148793339,1430.38,2,CONTRACT-APPLY-2023-10-US01-C034-SW-ANL-FIN-X,FX-CONTRACT-APPLY-2023-10-US01-C034-SW-ANL-FIN-X-1100_AR
